Image J,Point de référence : en bas à gauche de la cellule considérée,,,,,,,,,,,,,,,,
Name video,"output_1HYVrU
",output_3JCehT,output_5q84Sq,output_BFQlW5,output_GaRQek,output_gSz3MW,output_nkzWwN,output_Sjs50e,,Track number,,,X,Y,Distance ,Velocity,Pixel Value
Intensity,,,,,,,,,,1,1,1,728,469,-1,-1,51
"Distance Chloro n°1
Speed (per seconde)",0.00009518518519,0.0001433333333,0.00002388888889,0.0008955555556,-0.000387037037,-0.0007753703704,0.00017125,0.0002866666667,,2,1,2,729,469,0.129,0.065,85
"Mean of distance
 (unity ??)",0.05711111111,0.086,0.01433333333,0.5373333333,-0.2322222222,-0.4652222222,0.10275,0.172,,3,1,3,733,469,0.516,0.258,49
"
",0.516,0.129,0,5.511,-0.129,0,0.516,0.129,,4,1,4,737,469,0.516,0.258,79
,0.516,0,0,0.645,0,-0.129,0.465,0.387,,5,1,5,736,464,-0.658,-0.329,69
,-0.658,0,0,0,-0.387,-3.542,0,0,,6,1,6,736,466,0.258,0.129,92
,0.258,0,0,-0.516,0,-0.516,0,0,,7,1,7,736,466,0,0,55
,0,0,0,-0.387,1.04,0,0,0.258,,8,1,8,740,464,-0.577,-0.288,62
,-0.577,0,0,0,-1.969,-0.129,-0.288,0.258,,9,1,9,742,466,-0.365,-0.182,78
,-0.365,0.516,0,-0.288,0.129,0,0,0.258,,10,1,10,737,468,0.695,0.347,54
,0.695,0,0,-0.258,-0.903,0,,0.129,,11,7,1,766,448,-1,-1,81
Distance Chloro n°2 Speed,0.0003331481481,0.00004888888889,0.00002907407407,0.0008387037037,-0.0004737037037,-0.001061851852,-0.000219375,-0.0004737037037,,12,7,2,766,440,-1.032,-0.516,72
Mean distance,0.1998888889,0.02933333333,0.01744444444,0.5032222222,-0.2842222222,-0.6371111111,-0.131625,-0.2842222222,,13,7,3,776,444,1.389,0.695,71
,1.389,0,1.189,5.303,-0.752,-1.032,0,-0.258,,14,7,4,781,444,0.645,0.323,79
,0.645,0,0,0.387,0,-0.129,-0.408,-0.365,,15,7,5,782,444,0.129,0.065,81
,0.129,0,0,0,-0.258,-2.08,0.387,-0.387,,16,7,6,785,440,0.645,0.323,97
,0.645,0,0,-0.258,0,-0.645,-0.774,0,,17,7,7,778,444,-1.04,-0.52,65
,-1.04,0,0,-0.258,0,0,0,-0.258,,18,7,8,781,441,0.547,0.274,82
,0.547,0,0,0,0,0,0.903,-0.258,,19,7,9,785,441,0.516,0.258,92
,0.516,1.296,0,0.387,0,-0.816,-0.129,0,,20,7,10,785,441,0,0,60
,0,0,0,0,-0.516,0,,0,,21,10,1,798,517,-1,-1,79
Distance chlroro n°3 Speed,0.0004216666667,0.0002388888889,0.00009555555556,0.000975,0.0001025925926,-0.0009133333333,0.0001835416667,0.0001672222222,,22,10,2,798,517,0,0,80
Mean distance,0.253,0.1433333333,0.05733333333,0.585,0.06155555556,-0.548,0.110125,0.1003333333,,23,10,3,801,514,0.547,0.274,79
,0.547,0.387,0,3.794,-0.258,-0.903,0.516,0,,24,10,4,802,514,0.129,0.065,94
,0.129,0,0,1.471,-0.865,-0.387,0.129,0,,25,10,5,805,513,0.408,0.204,90
,0.408,0.516,0.387,0,0.129,-2.58,0.129,0.387,,26,10,6,808,512,0.408,0.204,92
,0.408,0.129,0,0,0.903,-0.645,0.258,0.129,,27,10,7,808,512,0,0,72
,0,0.258,0,0,0.129,0,0,0.387,,28,10,8,809,506,0.785,0.392,91
,0.785,0,0,0,0.387,-0.288,-0.516,0,,29,10,9,809,506,0,0,101
,0,0,0.129,0,0.129,-0.129,0.365,0,,30,10,10,809,506,0,0,57
,0,0,0,0,0,0,,0,,31,12,1,788,553,-1,-1,64
Distance chloro n°4 Speed,0.0002866666667,0.0001433333333,0.0001855555556,-0.0009985185185,0,-0.0007412962963,0.00019375,0.0004777777778,,32,12,2,788,553,0,0,64
Mean distance,0.172,0.086,0.1113333333,-0.5991111111,0,-0.4447777778,0.11625,0.2866666667,,33,12,3,789,553,0.129,0.065,62
,0.129,0.645,-0.288,-4.876,0,-1.032,0,0,,34,12,4,794,553,0.645,0.323,88
,0.645,0.129,0,-0.516,0,-0.645,0.93,0.645,,35,12,5,794,553,0,0,81
,0,0,0,0,0,-2.068,-0.129,0.516,,36,12,6,794,553,0,0,124
,0,0,0,0,0,-0.258,-0.129,0.129,,37,12,7,794,553,0,0,86
,0,0,0,0,0,0,0,1.032,,38,12,8,794,553,0,0,85
,0,0,0.774,0,0,0,0.645,0,,39,12,9,796,553,0.258,0.129,91
,0.258,0,0.516,0,0,0,-0.387,0.258,,40,12,10,800,553,0.516,0.258,60
,0.516,0,0,0,0,0,,0,,41,14,1,833,562,-1,-1,75
Distance chloro n°5 Speed,-0.000367962963,0.00008592592593,-0.0002246296296,0.001030740741,-0.0001090740741,-0.0008668518519,0.00007166666667,0.0003725925926,,42,14,2,837,557,-0.826,-0.413,77
Mean distance,-0.2207777778,0.05155555556,-0.1347777778,0.6184444444,-0.06544444444,-0.5201111111,0.043,0.2235555556,,43,14,3,837,556,-0.129,-0.065,71
,-0.129,0.258,0,5.116,0,-1.29,0.73,0.387,,44,14,4,840,556,-0.387,-0.194,74
,-0.387,0.258,0,0.73,0.645,0,0.182,1.161,,45,14,5,840,556,0,0,107
,0,0,-0.387,0.258,0,-2.019,-0.645,0.129,,46,14,6,841,556,-0.129,-0.065,92
