,,"T[Data launch]
 (Corresponding Frame)","T[Impact]
 (Corresponding Frame)","T[Impact] - T[Data launch]
 (in ms)","T[beginning of the data collect]
 (in ms)","Reaction Time
 (in ms)","Average Reaction Time
 (in ms)"
10%,1.1,23,43.5,683.3333333,756,72.66666667,56.71111111
,1.2,34,61.5,916.6666667,976.8,60.13333333,
,1.3,23,41.5,616.6666667,654,37.33333333,
,2.1,18,40.5,750,823.2,73.2,55.28888889
,2.2,0.5,18,583.3333333,639.6,56.26666667,
,2.3,33,57,800,836.4,36.4,
,3.1,38,55,566.6666667,612,45.33333333,42.4
,3.2,38.5,59,683.3333333,729.6,46.26666667,
,3.3,31.5,52.5,700,735.6,35.6,51.46666667
50%,1.1,34,58.5,816.6666667,882,65.33333333,52
,1.2,24,45.5,716.6666667,740.4,23.73333333,
,1.3,44,65.5,716.6666667,783.6,66.93333333,
,2.1,28,69.5,1383.333333,1396.8,13.46666667,50.88888889
,2.2,106,121.5,516.6666667,574.8,58.13333333,
,2.3,30,50.5,683.3333333,764.4,81.06666667,
,3.1,29,44.5,516.6666667,561.6,44.93333333,54.08888889
,3.2,31,51,666.6666667,730.8,64.13333333,
,3.3,29,62,1100,1153.2,53.2,52.32592593
90%,1.1,43,66,766.6666667,804,37.33333333,49.77777778
,1.2,47,63,533.3333333,582,48.66666667,
,1.3,43,60,566.6666667,630,63.33333333,
,2.1,42,57,500,572.4,72.4,58.08888889
,2.2,38,54,533.3333333,566.4,33.06666667,
,2.3,38,53,500,568.8,68.8,
,3.1,39,59,666.6666667,696,29.33333333,59.91111111
,3.2,33,53,666.6666667,751.2,84.53333333,
,3.3,35,48,433.3333333,499.2,65.86666667,55.92592593
