,slope,yB,yA,xB,xA,,,A = 3eme valeur
A1,0.000003448277139,0.01180002093,0.005500018597,3654,1827,,,B = 5eme valeur
A2,0.000003284062594,0.01209998131,0.006099998951,3654,1827,,,
A3,0.00005249042099,0.1126999855,0.01679998636,3654,1827,,,
A4,-0.00002468532725,-0.09670007229,-0.0515999794,3654,1827,,,
A5,0.00003579638991,0.1001999974,0.03479999304,3654,1827,,,
A6,0.00001466881076,0.1062999964,0.07950007915,3654,1827,,,
A7,0.00003694581018,0.2281000614,0.1606000662,3654,1827,,,
A8,0.0000179529712,0.07740008831,0.04460000992,3654,1827,,,
A9,-0.000003338806214,-0.01469999552,-0.008599996567,3654,1827,,,
A10,0.000001039949348,0.00229999423,0.0004000067711,3654,1827,,,
A11,0.00006026274269,0.4717000127,0.3615999818,3654,1827,,,
A12,0.00002194853773,0.05919998884,0.0191000104,3654,1827,,,
B1,0.00008877940564,0.5386000276,0.3764000535,3654,1827,,,
B2,0.00001198686273,0.1171000004,0.09520000219,3654,1827,,,
B3,0.00004302137329,0.46450001,0.385899961,3654,1827,,,
B4,0.00006152161757,0.2319999933,0.119599998,3654,1827,,,
B5,0.000004816639272,0.01970002055,0.0109000206,3654,1827,,,
B6,0.0000006568092562,-0.006200015545,-0.007400006056,3654,1827,,,
B7,0.000005966075862,0.06100004911,0.05010002851,3654,1827,,,
B8,0.00002353584176,0.171600014,0.1286000311,3654,1827,,,
B9,0.000004926110203,0.0625,0.05349999666,3654,1827,,,
B10,0.00002714833344,0.1759000123,0.1263000071,3654,1827,,,
B11,0.000002682013268,0.04320001602,0.03829997778,3654,1827,,,
B12,0.00003059659425,0.2150999904,0.1592000127,3654,1827,,,
C1,,,,,1827,,,
C2,,,,,1827,,,
C3,,,,,1827,,,
C4,,,,,1827,,,
C5,,,,,1827,,,
C6,,,,,1827,,,
C7,,,,,1827,,,
C8,,,,,1827,,,
C9,,,,,1827,,,
C10,,,,,1827,,,
C11,,,,,1827,,,
C12,,,,,1827,,,
