T1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pas,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10
,,11.481,16.643,17.124,16.64,16.469,15.353,15.209,14.208,1.596,15.901,18.116,11.701,13.409,12.993,13.431,11.097,13.339,13.535,13.466,12.648,7.123,2.465,-1,14.018,-1,0.182,-1,-1,,,3.923,9.118,13.039,5.702,9.92,14.836,9.628,13.308,6.173,6.599
,,3.75,2.541,2.208,2.481,1.811,2.322,2.326,1.296,2.992,1.847,2.1,3.012,2.208,2.583,2.068,2.721,2.659,2.068,2.85,2.197,2.856,1.161,2.838,0.129,0.408,1.296,1.419,0.408,,,1.189,2.204,1.224,2.841,2.505,1.632,3.096,1.677,1.596,1.811
,,3.614,2.491,2.721,2.253,1.811,2.208,2.227,1.682,2.58,1.806,1.553,2.593,1.682,2.354,1.811,2.465,2.631,1.935,2.003,1.471,1.952,0.658,0.532,1.824,0.387,1.064,1.296,3.317,,,0.465,1.553,1.168,2.481,2.709,1.569,2.068,1.442,1.442,1.721
,,2.656,2.003,1.347,2.253,2.354,2.465,2.286,1.569,2.454,1.935,2.084,2.451,2.227,2.197,1.442,2.58,2.336,2.068,0.826,1.442,0.658,0.658,0.658,1.032,0.752,1.29,1.189,1.806,,,1.442,1.806,1.04,1.939,2.193,1.347,1.471,1.168,1.677,1.102
,,2.58,2.326,2.162,2.08,2.135,2.326,1.847,1.316,2.481,1.419,1.425,2.326,1.811,1.811,1.697,2.583,2.162,1.939,0.785,2.193,0,0,0.658,1.29,1.224,0.577,0.387,2.841,,,1.419,1.973,1.161,1.154,2.227,1.168,1.569,1.032,1.064,1.677
,,0.516,2.204,2.003,1.939,2.04,1.847,2.379,1.596,1.189,1.632,1.04,0.695,1.548,1.939,1.682,1.425,2.068,2.08,1.721,1.102,0.658,0,0.645,1.677,1.04,0.93,0,1.296,,,1.161,1.425,0.695,1.296,1.596,1.224,1.161,1.224,,1.316
,,,2.128,2.04,1.548,2.58,2.253,2.04,1.271,1.471,1.596,0.939,,2.208,1.973,1.425,0.785,1.471,1.569,1.553,1.755,0.645,0.258,0.532,0.826,0.939,0.365,0.645,0.129,,,0.752,1.224,,,1.168,1.442,1.316,0.826,,1.064
,,,1.973,1.939,1.682,0.365,0.658,1.347,1.442,0.387,1.596,,,1.316,,0.982,,,1.189,3.289,1.824,0,0,0.182,0.903,1.04,0,0,0,,,,,,,0.865,1.04,0.912,,,1.032
,,,0.785,1.168,1.189,1.965,1.008,,1.389,,1.442,,,,,1.419,,,,,2.379,0,0.387,0,0,0.774,,0.387,0,,,,,,,,1.168,,,,1.161
,,,,1.168,1.677,1.271,,,0.912,,1.296,,,,,,,,,,,0,0,0,0.408,0.658,,0,0.865,,,,,,,,,,,,1.04
,,,,,1.29,,,,1.296,,0.658,,,,,,,,,,,0,0.865,0.182,0.516,0.645,,0,0,,,,,,,,,,,,0.774
,,,,,,,,,1.806,,,,,,,,,,,,,0.695,0,0,0,0,,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0,0.365,1.442,0,0.816,,0.182,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.73,0.774,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0.365,0,0,0,1.296,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1.04,0,0,0.365,0.912,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0,0,0.465,,0.288,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0,0.865,0.182,,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0.288,0,0.532,,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0,0,,,1.032,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0.516,0,,,1.553,,,,,,,,,,,,,,,
