N° réplicat,N° boite,N° lentil,ID lentil,Poids avant (cg),Taille pousse avant (mm),Poids après (cg),Taille pousse après (mm),Pousse verte ?
1,1,1,1_1,6,5,8,20,o
1,1,2,1_2,7,2,6,2,n
1,1,3,1_3,7,3,6,15,n
1,1,4,1_4,6,0,4,8,o
1,1,5,1_5,6,0,3,0,n
1,1,6,1_6,7,0.5,6,5,n
1,1,7,1_7,8,8,6,7,n
1,1,8,1_8,7,0,5,10,n
1,1,9,1_9,7,0,7,2,n
1,1,10,1_10,5,0.5,3,0.5,n
1,1,11,1_11,8,0,9,20,o
1,1,12,1_12,8,0,8,25,o
1,1,13,1_13,8,0,7,8,n
1,1,14,1_14,6,2,5,3,n
1,1,15,1_15,6,1,6,11,n
1,1,16,1_16,6,0,4,0,n
1,2,1,2_1,5,2,6,25,o
1,2,2,2_2,7,0,-999,-999,-999
1,2,3,2_3,8,3,7,10,n
1,2,4,2_4,7,0,5,8,n
1,2,5,2_5,7,0,5,0,n
1,2,6,2_6,6,4,6,6,o
1,2,7,2_7,7,0.5,5,9,n
1,2,8,2_8,6,5,5,5,n
1,2,9,2_9,5,0.5,5,4,o
1,2,10,2_10,5,1,5,6,n
1,2,11,2_11,5,0.5,5,16,o
1,2,12,2_12,5,0,-999,-999,-999
1,2,13,2_13,8,5,8,12,o
1,2,14,2_14,7,2,9,25,o
1,2,15,2_15,7,2,10,26,o
1,2,16,2_16,9,0,8,8,o
1,3,1,3_1,6,0,5,6,o
1,3,2,3_2,7,2,7,24,o
1,3,3,3_3,7,6,8,25,o
1,3,4,3_4,4,0,4,12,o
1,3,5,3_5,6,0,4,0,n
1,3,6,3_6,6,2,7,24,o
1,3,7,3_7,6,2,5,3,n
1,3,8,3_8,6,3,5,9,n
1,3,9,3_9,5,0.5,5,10,n
1,3,10,3_10,7,0,8,15,o
1,3,11,3_11,7,2,6,15,n
1,3,12,3_12,4,0,4,0,n
1,3,13,3_13,6,0,5,0,n
1,3,14,3_14,7,0,5,8,n
1,3,15,3_15,6,2,6,8,o
1,3,16,3_16,6,0,7,14,o
1,4,1,4_1,5,1,7,29,o
1,4,2,4_2,6,-1,6,20,o
1,4,3,4_3,6,2,7,20,n
1,4,4,4_4,4,-1,-999,-999,-999
1,4,5,4_5,6,2,5,25,o
1,4,6,4_6,8,-1,6,12,n
1,4,7,4_7,5,-1,5,0,n 
1,4,8,4_8,6,4,-999,-999,-999
1,4,9,4_9,7,1,-999,-999,-999
1,4,10,4_10,6,-1,6,13,n
1,4,11,4_11,5,-1,-999,-999,-999
1,4,12,4_12,4,2,4,7,o
1,4,13,4_13,6,3,-999,-999,-999
1,4,14,4_14,4,1,-999,-999,-999
1,4,15,4_15,3,-1,-999,-999,-999
1,4,16,4_16,5,-1,-999,-999,-999
1,5,1,5_1,6,-1,4,-1,n
1,5,2,5_2,5,0.5,4,10,n
1,5,3,5_3,8,3,7,24,o
1,5,4,5_4,5,-1,3,7,n
1,5,5,5_5,6,-1,5,3,n
1,5,6,5_6,6,0.5,5,14,o
1,5,7,5_7,6,2.5,4,21,o
1,5,8,5_8,4,-1,4,3,n
1,5,9,5_9,4,1,4,17,o
1,5,10,5_10,5,-1,4,0,n
1,5,11,5_11,6,0.5,5,5,n
1,5,12,5_12,6,2,5,12,o
1,5,13,5_13,4,0.5,3,3,n
1,5,14,5_14,5,0.5,5,10,n
1,5,15,5_15,4,-1,5,-1,n
1,5,16,5_16,5,1.5,5,21,o
1,6,1,6_1,6,2,4,11,n
1,6,2,6_2,4,-1,5,5,n
1,6,3,6_3,7,1,3,-1,n
1,6,4,6_4,6,-1,3,4,n
1,6,5,6_5,7,1,6,12,o
1,6,6,6_6,3,-1,6,11,o
1,6,7,6_7,5,1,5,3,n
1,6,8,6_8,5,0,4,-1,n
1,6,9,6_9,5,0.5,5,15,n
1,6,10,6_10,6,0,5,3,n
1,6,11,6_11,8,0,2,-1,n
1,6,12,6_12,6,0,4,2,n
1,6,13,6_13,5,1,7,20,o
1,6,14,6_14,4,-1,6,17,o
1,6,15,6_15,7,1,4,14,o
1,6,16,6_16,5,1,4,5,n
2,1,1,1_1,6,2,5,2,n
2,1,2,1_2,5,2,5,13,o
2,1,3,1_3,9,-1,7,10,n
2,1,4,1_4,6,1,4,17,o
2,1,5,1_5,6,2,6,5,o
2,1,6,1_6,3,-1,3,9,n
2,1,7,1_7,7,0.5,6,1,n
2,1,8,1_8,4,-1,4,7,n
2,1,9,1_9,6,2,7,5,o
2,1,10,1_10,6,5,7,17,o
2,1,11,1_11,5,-1,4,9,n
2,1,12,1_12,5,-1,6,10,n
2,1,13,1_13,6,2,8,18,o
2,1,14,1_14,6,-1,5,5,n
2,1,15,1_15,7,0.5,5,7,o
2,1,16,1_16,7,5,6,18,o
2,2,1,2_1,4,-1,6,15,n
2,2,2,2_2,5,0.5,6,16,n
2,2,3,2_3,3,-1,6,6,n
2,2,4,2_4,4,1,5,19,o
2,2,5,2_5,6,0,5,15,n
2,2,6,2_6,7,1,6,24,o
2,2,7,2_7,5,-1,5,-1,n
2,2,8,2_8,2,4,3,6,n
2,2,9,2_9,5,-1,6,-1,n
2,2,10,2_10,4,4,5,8,o
2,2,11,2_11,5,-1,5,12,n
2,2,12,2_12,5,3,5,9,n
2,2,13,2_13,4,-1,4,5,-1
2,2,14,2_14,6,0,5,14,n
2,2,15,2_15,5,-1,5,-1,n
2,2,16,2_16,7,0.5,5,1,n
2,3,1,3_1,8,4,9,32,o
2,3,2,3_2,6,-1,5,-1,n
2,3,3,3_3,4,-1,6,-1,n
2,3,4,3_4,6,9,6,20,o
2,3,5,3_5,5,-1,4,0,n
2,3,6,3_6,5,0,4,0,n
2,3,7,3_7,5,0.5,6,7,n
2,3,8,3_8,7,0,6,0,n
2,3,9,3_9,5,7,6,7,n
2,3,10,3_10,5,0.5,5,1,n
2,3,11,3_11,6,1,6,3,n
2,3,12,3_12,5,-1,5,-1,n
2,3,13,3_13,7,-1,5,-1,n
2,3,14,3_14,5,-1,5,0,n
2,3,15,3_15,3,1,6,5,n
2,3,16,3_16,7,0,6,0,n
2,4,1,4_1,4,-1,4,-1,n
2,4,2,4_2,5,-1,4,-1,n
2,4,3,4_3,6,9,6,7,o
2,4,4,4_4,4,-1,3,-1,n
2,4,5,4_5,5,-1,3,9,n
2,4,6,4_6,6,-1,6,-1,n
2,4,7,4_7,5,1,5,3,n
2,4,8,4_8,5,-1,6,-1,n
2,4,9,4_9,6,-1,5,-1,n
2,4,10,4_10,3,1,5,4,n
2,4,11,4_11,5,0,6,8,n
2,4,12,4_12,4,-1,5,0,n
2,4,13,4_13,6,-1,5,6,n
2,4,14,4_14,6,12,6,24,n
2,4,15,4_15,6,-1,4,8,n
2,4,16,4_16,3,-1,4,-1,n
2,5,1,5_1,5,-1,5,16,n
2,5,2,5_2,8,0,7,12,n
2,5,3,5_3,3,0,5,-1,n
2,5,4,5_4,3,-1,4,-1,n
2,5,5,5_5,4,0,4,-1,n
2,5,6,5_6,6,3,4,3,n
2,5,7,5_7,6,-1,5,-1,n
2,5,8,5_8,6,-1,4,-1,n
2,5,9,5_9,4,-1,4,-1,n
2,5,10,5_10,7,0,6,-1,n
2,5,11,5_11,3,-1,4,-1,n
2,5,12,5_12,5,2,5,5,n
2,5,13,5_13,6,-1,6,9,n
2,5,14,5_14,4,-1,5,-1,n
2,5,15,5_15,6,-1,6,-1,n
2,5,16,5_16,5,-1,5,-1,n
2,6,1,6_1,4,-1,5,-1,n
2,6,2,6_2,8,2,6,9,n
2,6,3,6_3,3,-1,5,-1,n
2,6,4,6_4,5,-1,3,-1,n
2,6,5,6_5,4,-1,6,16,o
2,6,6,6_6,3,0,3,2,n
2,6,7,6_7,7,-1,7,-1,n
2,6,8,6_8,3,1,4,1,n
2,6,9,6_9,5,-1,7,17,n
2,6,10,6_10,4,-1,5,-1,n
2,6,11,6_11,4,-1,6,-1,n
2,6,12,6_12,2,-1,4,-1,n
