Box,Light,1,2,3,4,5,6,7,8,9,Time,
16 ctrl +,Sunlight,7.1,4.9,3.9,6,3.6,1.8,2.6,2.2,2.2,8:10
17 ctrl +,Sunlight,5.1,3.8,4.5,3.9,4,2.3,4.2,4,2.5,8:12
18 ctrl -,None,4.6,2.7,4.1,4.3,2.5,2.4,2.2,3,8:17
19 ctrl -,None,4.6,1.6,3.5,2.5,3.4,3,3.1,4.8,8:21
1,UV,5.5,2.4,5,2,3.8,6,6.8,3.4,2.3,17:00
4,Red,7.5,6.5,4,4.2,5.1,4.1,2.2,5,3.9,17:00
5,IR,5.7,3.6,4.5,5.5,5.5,5.1,2.1,8.1,2.4,17:00
6,UV,3.5,6.1,4,3.5,5,6,1.5,3,4,17:00
7,Blue,4,1.6,4.2,3.6,2.4,2.6,5.2,5.5,2.6,17:00
8,Green,1.4,5.4,5.4,3.5,4,3.5,1.8,4,2.1,17:00
9,Red,2.3,4.5,3,7,6.5,4.3,3.8,6.3,4.7,17:00
10,IR,4.3,4.6,5.7,5.2,2,4.2,5.5,5.5,3.1,17:00
11,UV,4.5,17:00
12,Blue,6.3,5,3.5,4,3.9,2.7,5.9,4.3,3.8,17:00
13,Green,5.8,5.4,2.5,2.5,5.5,5,5.1,4.7,4.7,17:00
14,Red,5.3,4.3,6.6,4.4,3.6,5.1,6.6,4.7,3.5,17:00
15,IR,4.4,2.9,2,2.3,6.4,2.3,7.3,2.7,2.4,17:00
