Box,Light,1,2,3,4,5,6,7,8,9,Time
16 ctrl +,Sunlight,7.1,4.9,3.9,6,3.6,1.8,2.6,2.2,2.2,8:10
17 ctrl +,Sunlight,5.1,3.8,4.5,3.9,4,2.3,4.2,4,2.5,8:12
18 ctrl -,None,4.6,2.7,4.1,4.3,2.5,2.4,2.2,3,2.1,8:17
19 ctrl -,None,4.6,1.6,3.5,2.5,3.4,3,3.1,2.8,4.8,8:21
1,UV,,,,,,,,,,
2,Blue,,,,,,,,,,
3,Green,,,,,,,,,,
4,Red,,,,,,,,,,
5,IR,,,,,,,,,,
6,UV,,,,,,,,,,
7,Blue,,,,,,,,,,
8,Green,,,,,,,,,,
9,Red,,,,,,,,,,
10,IR,,,,,,,,,,
11,UV,,,,,,,,,,
12,Blue,,,,,,,,,,
13,Green,,,,,,,,,,
14,Red,,,,,,,,,,
15,IR,,,,,,,,,,
