Box,Light,1,2,3,4,5,6,7,8,9,Time
16 ctrl +,"Sunlight
",9.1,5,4,6,3,2.1,3,2.6,4.5,21:59
17 ctrl +,Sunlight,5,3,5,5.4,5.6,3,6,5,4.1,22:04
18 ctrl -,None,5,3,4,5,5.2,2,2.4,3,2.1,22:15
19 ctrl -,None,5,1.3,2.6,2.3,3.3,3,3.6,3,5,22:18
1,Red,6.5,3.6,8.7,3.6,5,5.4,5.9,4.5,8.7,14:00
2,Green,5.6,7.8,3.2,6.4,2.8,7.6,9,4.3,3.9,14:00
3,Blue,5.5,2.4,7.6,5.6,6.5,5.4,7.6,9.1,7.6,14:00
4,IR,4.5,6.7,9.6,3.2,5.4,9.8,4.4,3.1,6.4,23:13
5,UV,8.1,5.2,7.6,9.8,5.6,6.6,9.7,7.8,8.2,23:13
6,UV,2.7,4.8,3.8,2.7,5.2,5.3,1.5,2.6,4,23:13
7,Blue,9.36,16.48,2.24,3.6,2.1,2.5,4.8,5.2,2.7,23:13
8,Green,1.9,5.1,5.6,3.5,4.4,3.2,1.5,3.5,2.4,23:13
9,Red,2.1,4.1,5.6,6.1,3.9,2.7,5.3,3.5,,23:13
10,IR,4.1,3.8,5.2,5.4,2,4.3,4.8,4.2,2.6,23:13
11,UV,3,1,5.7,3.9,3.6,4.8,3.1,5.7,3,23:13
12,Blue,5,5.1,3.2,3.5,3,2.2,5.7,4,3.6,23:13
13,Green,4.9,4.7,1.9,2.5,5,4.4,4,4.7,3.5,23:13
14,Red,4.6,3.8,6.3,3.9,3.4,4.2,4.6,4.2,2.9,23:13
15,IR,4.1,2.7,1.7,2.4,4.3,2.3,5.7,3,1.9,23:13
