nmapR= 1115  R= 189  nomapG= 2024  G= 344  nomapB= 1996  B= 339  
nomapR= 1115  R= 189  nomapG= 2025  G= 344  nomapR= 1110  R= 188  nomapG= 2015  G= 342  nomapB= 1991  B= 338  
nomapR= 1112  R= 189  nomapG= 2017  G= 342  nomapB= 1992  B= 338  
nomapR= 1112  R= 189  nomapG= 2016  G= 342  nomapB= 1991  B= 338  
nomapR= 1106  R= 188  nomapG= 2016  G= 342  nomapB= 1991  B= 338  
nomapR= 1111  R= 188  nomapG= 2018  G= 343  nomapB= 1992  B= 338  
nomapR= 1113  R= 189  nomapG= 2016  G= 342  nomapB= 1993  B= 338  
nomapR= 1111  R= 188  nomapG= 2017  G= 342  nomapB= 1991  B= 338  
nomapR= 1112  R= 189  nomapG= 2017  G= 342  nomapB= 1990  B= 338  
nomapR= 1114  R= 189  nomapG= 2021  G= 343  nomapB= 1998  B= 339  
nomapR= 1117  R= 189  nomapG= 2027  G= 344  nomapB= 1997  B= 339  
nomapR= 1115  R= 189  nomapG= 2019  G= 343  nomapB= 1994  B= 338  
nomapR= 1113  R= 189  nomapG= 2020  G= 343  nomapB= 2002  B= 340  
nomapR= 1114  R= 189  nomapG= 2021  G= 343  nomapB= 1994  B= 338  
nomapR= 1113  R= 189  nomapG= 2021  G= 343  nomapB= 1994  B= 338  
nomapR= 1115  R= 189  nomapG= 2021  G= 343  nomapB= 1997  B= 339  
nomapR= 1115  R= 189  nomapG= 2021  G= 343  nomapB= 1994  B= 338  
nomapR= 1115  R= 189  nomapG= 2024  G= 344  nomapB= 1997  B= 339  
nomapR= 1116  R= 189  nomapG= 2023  G= 343  nomapB= 1995  B= 339  
nomapR= 1114  R= 189  nomapG= 2021  G= 343  nomapB= 1998  B= 339  
nomapR= 1115  R= 189  nomapG= 2021  G= 343  nomapB= 1712  B= 291  
nomapR= 869  R= 147  nomapG= 1761  G= 299  nomapB= 1722  B= 292  
nomapR= 871  R= 148  nomapG= 1763  G= 299  nomapB= 1717  B= 291  
nomapR= 873  R= 148  nomapG= 1763  G= 299  nomapB= 1723  B= 292  
nomapR= 874  R= 148  nomapG= 1769  G= 300  nomapB= 1719  B= 292  
nomapR= 874  R= 148  nomapG= 1763  G= 299  nomapB= 1727  B= 293  
nomapR= 875  R= 148  nomapG= 1766  G= 300  nomapB= 1721  B= 292  
nomapR= 876  R= 148  nomapG= 1767  G= 300  nomapB= 1728  B= 293  
nomapR= 883  R= 150  nomapG= 1767  G= 300  nomapB= 1730  B= 294  
nomapR= 884  R= 150  nomapG= 1768  G= 300  nomapB= 1724  B= 293  
nomapR= 878  R= 149  nomapG= 1768  G= 300  nomapB= 1724  B= 293  
nomapR= 879  R= 149  nomapG= 1770  G= 300  nomapB= 1725  B= 293  
nomapR= 880  R= 149  nomapG= 1769  G= 300  nomapB= 1732  B= 294  
nomapR= 881  R= 149  nomapG= 1776  G= 301  nomapB= 1731  B= 294  
nomapR= 881  R= 149  nomapG= 1770  G= 300  nomapB= 1727  B= 293  
nomapR= 882  R= 149  nomapG= 1770  G= 300  nomapB= 1727  B= 293  
nomapR= 882  R= 149  nomapG= 1771  G= 301  nomapB= 1728  B= 293  
nomapR= 882  R= 149  nomapG= 1771  G= 301  nomapB= 1729  B= 293  
nomapR= 883  R= 150  nomapG= 1772  G= 301  nomapB= 1730  B= 294  
nomapR= 884  R= 150  nomapG= 1771  G= 301  nomapB= 1736  B= 295  
nomapR= 884  R= 150  nomapG= 1773  G= 301  nomapB= 1730  B= 294  
nomapR= 884  R= 150  nomapG= 1773  G= 301  nomapB= 1736  B= 295  
nomapR= 884  R= 150  nomapG= 1774  G= 301  nomapB= 1730  B= 294  
nomapR= 884  R= 150  nomapG= 1780  G= 302  nomapB= 1729  B= 293  
nomapR= 885  R= 150  nomapG= 1774  G= 301  nomapB= 1736  B= 295  
nomapR= 885  R= 150  nomapG= 1774  G= 301  nomapB= 1737  B= 295  
nomapR= 886  R= 150  nomapG= 1775  G= 301  nomapB= 1731  B= 294  
nomapR= 892  R= 151  nomapG= 1773  G= 301  nomapB= 1731  B= 294  
nomapR= 892  R= 151  nomapG= 1783  G= 303  nomapB= 1732  B= 294  
nomapR= 886  R= 150  nomapG= 1782  G= 302  nomapB= 1731  B= 294  
nomapR= 1107  R= 188  nomapG= 2020  G= 343  nomapB= 1992  B= 338  
nomapR= 1113  R= 189  nomapG= 2018  G= 343  nomapB= 1993  B= 338  
nomapR= 1112  R= 189  nomapG= 2016  G= 342  nomapB= 1989  B= 338  
nomapR= 1112  R= 189  nomapG= 2016  G= 342  nomapB= 1990  B= 338  
nomapR= 1112  R= 189  nomapG= 2016  G= 342  nomapB= 1990  B= 338  
nomapR= 1112  R= 189  nomapG= 2018  G= 343  nomapB= 1991  B= 338  
nomapR= 1114  R= 189  nomapG= 2015  G= 342  nomapB= 1990  B= 338  
nomapR= 1105  R= 187  nomapG= 2017  G= 342  nomapB= 1988  B= 337  
nomapR= 1111  R= 188  nomapG= 2018  G= 343  nomapB= 1990  B= 338  
nomapR= 1112  R= 189  nomapG= 2023  G= 343  nomapB= 1994  B= 338  
nomapR= 1114  R= 189  nomapG= 2019  G= 343  nomapB= 1993  B= 338  
nomapR= 1115  R= 189
