"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"A6WEUWQ3","webpage","","","Effect of light colour, timing, and duration of light exposure on the hatchability of Artemia spp. (Branchiopoda: Anostraca) eggs  »  Brill Online","","","","","http://booksandjournals.brillonline.com/content/journals/10.1163/1937240x-00002454","","","2017-01-20 09:01:43","2017-01-20 09:01:43","2017-01-19 14:32:46","","","","","","","","","","","","","","","","","","","","","","","/home/licencefdv/.mozilla/firefox/zp9bb5vi.default/zotero/storage/PHGGNKER/1937240x-00002454.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EUVB85H4","webpage","","","Adafruit TSL2561 Digital Luminosity/Lux/Light Sensor Breakout ID: 439 - $5.95 : Adafruit Industries, Unique & fun DIY electronics and kits","","","","","https://www.adafruit.com/product/439","","","2017-01-20 08:57:43","2017-01-20 08:57:43","2017-01-19 19:50:10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GX3573EB","webpage","","","Montage du capteur - Wiring the TSL2561 Sensor | TSL2561 Luminosity Sensor | Adafruit Learning System","","","","","https://learn.adafruit.com/tsl2561/wiring","","","2017-01-20 08:57:43","2017-01-20 08:57:43","2017-01-19 19:25:57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I5T4GI3S","blogPost","2013","admin","[Tuto] Allumer une LED","Letmeknow","","","","http://letmeknow.fr/blog/2013/08/06/allumer-une-led/","Allumer une LED Le but de ce montage est d’allumer une LED 1 seconde puis de l’éteindre durant 2 secondes et recommencer. Composants nécessaires : Un Arduino 1 LED 1 résistance (Optionn…","2013-08-06","2017-01-20 08:57:43","2017-01-20 08:57:43","2017-01-18 09:46:53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J7KX6E7K","encyclopediaArticle","2016","","Eyespot apparatus","Wikipedia","","","","https://en.wikipedia.org/w/index.php?title=Eyespot_apparatus&oldid=722796403","The eyespot apparatus (or stigma) is a photoreceptive organelle found in the flagellate or (motile) cells of green algae and other unicellular photosynthetic organisms such as euglenids. It allows the cells to sense light direction and intensity and respond to it by swimming either towards the light (positive phototaxis) or away from the light (negative phototaxis). A related response (""photoshock"" or photophobic response) occurs when cells are briefly exposed to high light intensity, causing the cell to stop, briefly swim backwards, then change swimming direction. Eyespot-mediated light perception helps the cells in finding an environment with optimal light conditions for photosynthesis. Eyespots are the simplest and most common ""eyes"" found in nature, composed of photoreceptors and areas of bright orange-red pigment granules. Signals relayed from the eyespot photoreceptors result in alteration of the beating pattern of the flagella, generating a phototactic response.","2016-05-30","2017-01-20 09:01:43","2017-01-20 09:01:43","2017-01-17 11:47:39","","","","","","","","","","","","","","en","Creative Commons Attribution-ShareAlike License","","","","Wikipedia","","Page Version ID: 722796403","","/home/licencefdv/.mozilla/firefox/zp9bb5vi.default/zotero/storage/QUP5VNEI/index.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JBQXX7T5","webpage","","","Modifier l'intensité lumineuse d'une LED — Wiki L.A.B","","","","","http://wiki.labaixbidouille.com/index.php/Modifier_l%27intensit%C3%A9_lumineuse_d%27une_LED","","","2017-01-20 08:57:43","2017-01-20 08:57:43","2017-01-18 09:46:47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M7E8ZP7S","webpage","","","Article > élevage des artémias adultes :: AquaBase.org","","","","","http://www.aquabase.org/articles/html.php3/elevage-des-artemias-adultes=218.html","","","2017-01-20 09:01:43","2017-01-20 09:01:43","2017-01-19 13:44:22","","","","","","","Article > élevage des artémias adultes","","","","","","","","Creative Commons Attribution-NonCommercial-ShareAlike, http://creativecommons.org/licenses/by-nc-sa/2.0/","","","","","","","","/home/licencefdv/.mozilla/firefox/zp9bb5vi.default/zotero/storage/B93GKM23/elevage-des-artemias-adultes=218.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RUFSAUX3","journalArticle","2011","Kokkali, Varvara; Katramados, Ioannis; Newman, Jeffrey D.","Monitoring the Effect of Metal Ions on the Mobility of Artemia salina Nauplii","Biosensors","","","10.3390/bios1020036","","This study aims to measure the effect of toxic aqueous solutions of metals on the mobility of Artemia salina nauplii by using digital image processing. The instrument consists of a camera with a macro lens, a dark chamber, a light source and a laptop computer. Four nauplii were inserted into a macro cuvette, which contained copper, cadmium, iron and zinc ions at various concentrations. The nauplii were then filmed inside the dark chamber for two minutes and the video sequence was processed by a motion tracking algorithm that estimated their mobility. The results obtained by this system were compared to the mortality assay of the Artemia salina nauplii. Despite the small number of tested organisms, this system demonstrates great sensitivity in quantifying the mobility of the nauplii, which leads to significantly lower EC50 values than those of the mortality assay. Furthermore, concentrations of parts per trillion of toxic compounds could be detected for some of the metals. The main novelty of this instrument relies in the sub-pixel accuracy of the tracking algorithm that enables robust measurement of the deterioration of the mobility of Artemia salina even at very low concentrations of toxic metals.","2011-03-28","2017-01-20 09:01:43","2017-01-20 09:01:43","","36-45","","2","1","","Biosensors (Basel)","","","","","","","","eng","","","","","PubMed","","PMID: 25586826 PMCID: PMC4264340","","","http://www.ncbi.nlm.nih.gov/pubmed/25586826","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5CKR89QK","blogPost","","Yaug","Arduino – Capteur de luminosité","","","","","http://www.manuel-esteban.com/arduino-capteur-de-luminosite/","","","2017-01-20 10:01:05","2017-01-20 10:01:05","2017-01-19 16:31:35","","","","","","","","","","","","","","","","","","","","","","","/home/licencefdv/.mozilla/firefox/zp9bb5vi.default/zotero/storage/K3TJPNTA/arduino-capteur-de-luminosite.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N6S96H32","webpage","","Emslie, Sara","Artemia salina","Animal Diversity Web","","","","http://animaldiversity.org/accounts/Artemia_salina/","","","2017-01-20 10:01:05","2017-01-20 10:01:05","2017-01-19 15:40:06","","","","","","","","","","","","","","","","","","","","","","","/home/licencefdv/.mozilla/firefox/zp9bb5vi.default/zotero/storage/XE96NXP9/Artemia_salina.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
