I = Picture; B = Black screen; O = Orange screen


I1B1 = [3222, 3226, 3220, 3222, 3224, 3222, 3222, 3223, 3227, 3222]
I1O1 = [832, 833, 833, 833, 833, 833, 833, 834, 833, 833]


I1B2 = [3654, 3658, 3659, 3665, 3664, 3668, 3668, 3672, 3674, 3680]
I1O2 = [1091, 1090, 1092, 1091, 1091, 1091, 1092, 1091, 1091, 1091]


I1B3 = [2735, 2734, 2723, 2706, 2689, 2681, 2679, 2672, 2667, 2663]
I1O3 = [683, 683, 684, 683, 684, 684, 683, 684, 683, 683]


I1B4 = [3135, 3181, 3230, 3319, 3382, 3427, 3460, 3500, 3544, 3587]
I1O4 = [1127, 1128, 1125, 1126, 1127, 1130, 1129, 1128, 1130, 1130]


I1B5 = [3074, 3164, 3285, 3465, 3505, 3520, 3555, 3571, 3601, 3641]
I1O5 = [1166, 1185, 1189, 1190, 1188, 1189, 1186, 1180, 1165, 1157]


I1B6 = [3764, 3759, 3765, 3768, 3766, 3766, 3767, 3767, 3767, 3773]
I1O6 = [1113, 1113, 1115, 1114, 1116, 1115, 1115, 1115, 1116, 1113]


I1B7 = [3864, 3881, 3880, 3874, 3879, 3877, 3876, 3879, 3859, 3834]
I1O7 = [1147, 1149, 1150, 1149, 1148, 1149, 1147, 1145, 1147, 1145]


I1B8 = [3604, 3604, 3586, 3592, 3593, 3592, 3585, 3589, 3607, 3600]
I1O8 = [1084, 1085, 1085, 1082, 1085, 1086, 1085, 1084, 1085, 1084]


I1B9 = [3358, 3360, 3333, 3337, 3332, 3327, 3317, 3302, 3298, 3297]
I1O9 = [952, 944, 937, 929, 924, 915, 912, 913, 913, 913]


I1B10 = [3540, 3541, 3547, 3550, 3549, 3554, 3554, 3556, 3560, 3559]
I1O10 = [1028, 1028, 1028, 1029, 1029, 1028, 1027, 1028, 1028, 1028]






I2B1 = [3305, 3295, 3290, 3295, 3291, 3298, 3290, 3283, 3291, 3287]
I2O1 = [1004, 1004, 1003, 1003, 1004, 1002, 1003, 1003, 1004, 1004]


I2B2 = [3493, 3503, 3528, 3521, 3514, 3511, 3498, 3498, 3503, 3505]
I2O2 = [1155, 1157, 1156, 1156, 1156, 1155, 1154, 1155, 1156, 1156]


I2B3 = [3233, 3242, 3234, 3217, 3223, 3223, 3243, 3249, 3264, 3218]
I2O3 = [1044, 1042, 1042, 1043, 1042, 1042, 1041, 1042, 1042, 1042]


I2B4 = [3451, 3450, 3446, 3445, 3437, 3429, 3425, 3426, 3411, 3405]
I2O4 = [1056, 1058, 1058, 1058, 1057, 1058, 1058, 1057, 1058, 1059]


I2B5 = [3400, 3402, 3401, 3403, 3404, 3403, 3406, 3407, 3411, 3413]
I2O5 = [1068, 1070, 1069, 1067, 1070, 1069, 1069, 1070, 1069, 1068]


I2B6 = [2623, 2681, 2721, 2763, 2803, 2845, 2887, 2930, 2970, 3012]
I2O6 = [953, 952, 953, 954, 954, 955, 953, 953, 952, 954]


I2B7 = [3500, 3498, 3499, 3502, 3503, 3504, 3502, 3507, 3503, 3505]
I2O7 = [1165, 1164, 1164, 1163, 1164, 1162, 1163, 1163, 1164, 1162]


