 ,Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,1,1,436,432,-1.000,-1.000,-16777216
2,1,2,436,432,0.000,0.000,-16776703
3,1,3,426,424,1.652,0.826,-16776960
4,1,4,426,417,0.903,0.452,-16710394
5,1,5,426,417,0.000,0.000,-15656952
6,1,6,416,383,4.572,2.286,-15983347
7,1,7,404,363,3.009,1.504,-15524590
8,1,8,404,363,0.000,0.000,-15327712
9,1,9,383,338,4.212,2.106,-13155806
10,1,10,350,310,5.583,2.791,-14472420
11,1,11,314,270,6.942,3.471,-14867928
12,1,12,282,255,4.559,2.280,-14078438
13,1,13,212,237,9.324,4.662,-13551318
14,1,14,216,237,0.516,0.258,-14078676
15,1,15,206,227,1.824,0.912,-14470359
16,1,16,196,220,1.575,0.787,-14996203
17,1,17,164,206,4.506,2.253,-14207955
18,1,18,139,195,3.523,1.762,-14274772
19,1,19,102,172,5.620,2.810,-14473430
20,1,20,79,154,3.768,1.884,-14474461
21,1,21,64,154,1.935,0.968,-14736101
22,1,22,47,152,2.208,1.104,-14932193
23,1,23,13,147,4.433,2.217,-14606035
24,1,24,10,144,0.547,0.274,-13948376
25,2,1,356,306,-1.000,-1.000,-16776448
26,2,2,352,306,0.516,0.258,-16776426
27,2,3,358,307,0.785,0.392,-16711415
28,2,4,358,307,0.000,0.000,-16770272
29,2,5,341,312,2.286,1.143,-15132891
30,2,6,346,284,3.669,1.835,-14668756
31,2,7,327,280,2.505,1.252,-13287115
32,2,8,311,277,2.100,1.050,-13745625
33,2,9,276,256,5.265,2.633,-12891595
34,2,10,243,229,5.500,2.750,-13352659
35,2,11,185,223,7.522,3.761,-12170178
36,2,12,152,189,6.112,3.056,-13880517
37,2,13,120,171,4.736,2.368,-14142396
38,2,14,100,153,3.471,1.736,-14208943
39,2,15,90,150,1.347,0.673,-14603216
40,2,16,80,143,1.575,0.787,-14143678
41,2,17,42,124,5.481,2.740,-13883084
42,2,18,15,149,4.747,2.373,-12827324
