 ,Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,1,1,178,315,-1.000,-1.000,-16776960
2,1,2,174,322,1.040,0.520,-16776703
3,1,3,174,320,0.258,0.129,-16512763
4,1,4,184,287,4.448,2.224,-14144985
5,1,5,184,287,0.000,0.000,-13483985
6,1,6,184,287,0.000,0.000,-13417414
7,1,7,184,287,0.000,0.000,-13418701
8,1,8,184,282,0.645,0.323,-13483467
9,1,9,184,280,0.258,0.129,-12562879
10,1,10,184,278,0.258,0.129,-14010836
11,1,11,184,268,1.290,0.645,-14271954
12,1,12,184,268,0.000,0.000,-14208468
13,1,13,184,269,0.129,0.065,-13878992
14,1,14,184,269,0.000,0.000,-14011087
15,1,15,185,272,0.408,0.204,-14339276
16,1,16,191,283,1.616,0.808,-14010830
17,1,17,191,283,0.000,0.000,-14142426
18,1,18,183,286,1.102,0.551,-14141395
19,1,19,183,271,1.935,0.968,-12892610
20,1,20,170,263,1.969,0.985,-14142424
21,1,21,170,257,0.774,0.387,-13221832
22,1,22,160,247,1.824,0.912,-13549776
23,1,23,157,243,0.645,0.323,-13352646
24,1,24,147,243,1.290,0.645,-14011087
25,1,25,147,243,0.000,0.000,-13813708
26,1,26,147,243,0.000,0.000,-13551051
27,1,27,150,243,0.387,0.194,-13812430
28,1,28,157,243,0.903,0.452,-11380660
29,1,29,157,241,0.258,0.129,-13747915
30,1,30,157,241,0.000,0.000,-13945558
31,1,31,152,241,0.645,0.323,-14010576
32,2,1,112,284,-1.000,-1.000,-16514046
33,2,2,112,284,0.000,0.000,-15262186
34,2,3,113,289,0.658,0.329,-15721695
35,2,4,113,289,0.000,0.000,-13618390
36,2,5,120,300,1.682,0.841,-10986418
37,2,6,120,300,0.000,0.000,-9933730
38,2,7,120,307,0.903,0.452,-11445172
39,2,8,133,296,2.197,1.098,-10063759
40,2,9,140,296,0.903,0.452,-13089985
41,2,10,145,296,0.645,0.323,-13683403
42,2,11,127,296,2.322,1.161,-13091777
43,2,12,121,296,0.774,0.387,-13814221
44,2,13,121,296,0.000,0.000,-13484994
45,2,14,102,292,2.505,1.252,-10722468
46,2,15,120,290,2.336,1.168,-12959177
47,2,16,114,286,0.930,0.465,-13419202
48,2,17,111,278,1.102,0.551,-11973046
49,2,18,122,290,2.100,1.050,-12958393
50,2,19,136,292,1.824,0.912,-12958653
51,2,20,164,295,3.633,1.816,-13945555
52,2,21,165,301,0.785,0.392,-13681611
53,2,22,181,301,2.064,1.032,-11642290
54,2,23,192,312,2.007,1.003,-11641789
55,2,24,187,300,1.677,0.839,-13091017
56,2,25,185,299,0.288,0.144,-14077141
57,2,26,185,298,0.129,0.065,-13484756
58,2,27,185,298,0.000,0.000,-13945045
59,2,28,189,292,0.930,0.465,-13288129
60,2,29,197,286,1.290,0.645,-13287618
61,2,30,197,285,0.129,0.065,-13089734
62,2,31,188,277,1.553,0.777,-13682132
