 ,Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,1,2,484,293,-1.000,-1.000,-16645119
2,1,3,484,293,0.000,0.000,-16776704
3,1,4,475,293,1.161,0.581,-15853044
4,1,5,475,288,0.645,0.323,-14471902
5,1,6,466,288,1.161,0.581,-13614538
6,1,7,466,287,0.129,0.065,-13878990
7,1,8,466,287,0.000,0.000,-13878990
8,1,9,466,294,0.903,0.452,-14141387
9,1,10,468,299,0.695,0.347,-15193046
10,1,11,472,294,0.826,0.413,-14931932
11,1,12,472,292,0.258,0.129,-10717874
12,1,13,464,309,2.424,1.212,-15193823
13,1,14,464,301,1.032,0.516,-14930653
14,1,15,464,293,1.032,0.516,-14932441
15,1,16,464,293,0.000,0.000,-14932443
16,1,17,470,283,1.504,0.752,-13812170
17,1,18,470,299,2.064,1.032,-14340314
18,1,19,463,292,1.277,0.639,-15062497
19,1,20,463,286,0.774,0.387,-15062748
20,1,21,465,289,0.465,0.233,-14273751
21,1,22,474,288,1.168,0.584,-12496585
22,1,23,474,287,0.129,0.065,-13285049
23,1,24,468,287,0.774,0.387,-14270150
24,1,25,472,287,0.516,0.258,-14800867
25,1,26,480,286,1.040,0.520,-14666709
26,1,27,478,286,0.258,0.129,-14537682
27,1,28,473,293,1.110,0.555,-15260893
28,1,29,473,291,0.258,0.129,-13879240
29,1,30,475,288,0.465,0.233,-14603735
30,1,31,479,281,1.040,0.520,-14010062
31,2,1,423,303,-1.000,-1.000,-16248061
32,2,2,416,303,0.903,0.452,-15392256
33,2,3,416,303,0.000,0.000,-14339837
34,2,4,415,303,0.129,0.065,-7826822
35,2,5,411,303,0.516,0.258,-6112883
36,2,6,434,296,3.101,1.551,-13417672
37,2,7,422,290,1.731,0.865,-13484235
38,2,8,422,283,0.903,0.452,-14733534
39,2,9,419,279,0.645,0.323,-14733785
40,2,10,409,279,1.290,0.645,-14338773
41,2,11,409,279,0.000,0.000,-13549774
42,2,12,409,270,1.161,0.581,-14474459
43,2,13,409,269,0.129,0.065,-14010836
44,2,14,409,281,1.548,0.774,-9867435
45,2,15,418,268,2.040,1.020,-13812946
46,2,16,424,262,1.095,0.547,-14140886
47,2,17,409,266,2.003,1.001,-14077911
48,2,18,422,280,2.465,1.232,-14273761
49,2,19,419,272,1.102,0.551,-14141395
50,2,20,425,268,0.930,0.465,-13418709
51,2,21,420,283,2.040,1.020,-13551316
52,2,22,420,283,0.000,0.000,-14008269
53,2,23,417,286,0.547,0.274,-13681364
54,2,24,417,286,0.000,0.000,-13944783
55,2,25,418,286,0.129,0.065,-12760522
56,2,26,419,302,2.068,1.034,-8812427
57,2,27,419,289,1.677,0.839,-8878230
58,2,28,419,289,0.000,0.000,-8877468
59,2,29,423,284,0.826,0.413,-14011091
60,2,30,421,284,0.258,0.129,-13879254
61,2,31,416,301,2.286,1.143,-5523030
