 ,Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,1,1,329,345,-1.000,-1.000,-16446970
2,1,2,341,345,1.548,0.774,-16775424
3,1,3,360,352,2.612,1.306,-13155270
4,1,4,356,352,0.516,0.258,-13484271
5,1,5,366,365,2.116,1.058,-12825022
6,1,6,366,357,1.032,0.516,-6249092
7,1,7,370,357,0.516,0.258,-5456244
8,1,8,372,366,1.189,0.595,-11442591
9,1,9,372,358,1.032,0.516,-7696025
10,1,10,372,358,0.000,0.000,-14399430
11,1,11,396,361,3.120,1.560,-13345976
12,1,12,333,358,8.136,4.068,-14135476
13,1,13,338,358,0.645,0.323,-13018294
14,1,14,338,365,0.903,0.452,-13347769
15,1,15,338,384,2.451,1.226,-11770018
16,1,16,337,384,0.129,0.065,-13017013
17,1,17,325,381,1.596,0.798,-14400455
18,1,18,337,373,1.860,0.930,-10716041
19,1,19,337,368,0.645,0.323,-9857656
20,1,20,352,370,1.952,0.976,-8676744
21,1,21,352,376,0.774,0.387,-11299209
22,1,22,353,374,0.288,0.144,-13210037
23,1,23,353,368,0.774,0.387,-13478065
24,1,24,353,366,0.258,0.129,-11045790
25,1,25,338,384,3.023,1.511,-15319498
26,1,26,350,372,2.189,1.095,-12360364
27,1,27,350,364,1.032,0.516,-14990533
28,1,28,350,364,0.000,0.000,-14662851
29,1,29,350,366,0.258,0.129,-13871029
30,1,30,350,368,0.258,0.129,-12754872
31,1,31,349,380,1.553,0.777,-15311026
32,2,1,418,405,-1.000,-1.000,-16579578
33,2,2,437,405,2.451,1.226,-16777212
34,2,3,437,417,1.548,0.774,-16776192
35,2,4,420,421,2.253,1.126,-15986160
36,2,5,434,422,1.811,0.905,-14733801
37,2,6,437,420,0.465,0.233,-9470631
38,2,7,437,417,0.387,0.194,-14469083
39,2,8,429,414,1.102,0.551,-14008268
40,2,9,429,412,0.258,0.129,-13546177
41,2,10,382,424,6.257,3.129,-12824755
42,2,11,397,424,1.935,0.968,-13350328
43,2,12,400,424,0.387,0.194,-15451084
44,2,13,400,433,1.161,0.581,-13544622
45,2,14,398,445,1.569,0.785,-15453654
46,2,15,382,445,2.064,1.032,-13283508
47,2,16,390,436,1.553,0.777,-15057859
48,2,17,405,436,1.935,0.968,-15651027
49,2,18,390,417,3.123,1.561,-14465737
50,2,19,393,430,1.721,0.861,-14335418
51,2,20,393,430,0.000,0.000,-15055554
52,2,21,393,430,0.000,0.000,-10782854
53,2,22,406,446,2.659,1.330,-15255503
54,2,23,406,446,0.000,0.000,-14795217
55,2,24,426,436,2.885,1.442,-15188433
56,2,25,406,434,2.593,1.296,-15124691
57,2,26,406,446,1.548,0.774,-13083556
58,2,27,412,461,2.084,1.042,-15060443
59,2,28,429,442,3.289,1.644,-15648466
60,2,29,413,452,2.434,1.217,-15452367
61,2,30,413,473,2.709,1.355,-15847125
62,2,31,413,457,2.064,1.032,-15452882
