 ,Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,1,1,326,368,-1.000,-1.000,-16773114
2,1,2,322,364,0.730,0.365,-16175603
3,1,3,309,368,1.755,0.877,-16514555
4,1,4,308,363,0.658,0.329,-16382971
5,1,5,306,351,1.569,0.785,-16443647
6,1,6,286,355,2.631,1.316,-14209998
7,1,7,284,351,0.577,0.288,-13815253
8,1,8,284,351,0.000,0.000,-14274259
9,1,9,284,351,0.000,0.000,-14863318
10,1,10,290,350,0.785,0.392,-15717594
11,1,11,290,348,0.258,0.129,-15324642
12,1,12,290,347,0.129,0.065,-15717580
13,1,13,290,347,0.000,0.000,-8341596
14,1,14,272,343,2.379,1.189,-14798028
15,1,15,265,333,1.575,0.787,-15190502
16,1,16,263,333,0.258,0.129,-14471892
17,1,17,255,330,1.102,0.551,-15322586
18,1,18,260,330,0.645,0.323,-14535107
19,1,19,260,330,0.000,0.000,-14270678
20,1,20,260,330,0.000,0.000,-14007004
21,1,21,260,330,0.000,0.000,-14205134
22,1,22,259,330,0.129,0.065,-13938390
23,1,23,245,326,1.878,0.939,-14599895
24,1,24,245,326,0.000,0.000,-14599875
25,1,25,244,315,1.425,0.712,-14797525
26,1,26,243,315,0.129,0.065,-14930398
27,1,27,243,315,0.000,0.000,-14865371
28,1,28,242,315,0.129,0.065,-6761002
29,1,29,216,315,3.354,1.677,-14729424
30,1,30,215,309,0.785,0.392,-14535616
31,1,31,203,305,1.632,0.816,-14535640
32,2,1,187,313,-1.000,-1.000,-16711680
33,2,2,187,299,1.806,0.903,-16776694
34,2,3,182,297,0.695,0.347,-16776960
35,2,4,195,316,2.970,1.485,-16448243
36,2,5,182,316,1.677,0.839,-15457784
37,2,6,180,307,1.189,0.595,-8680344
38,2,7,179,307,0.129,0.065,-13487825
39,2,8,182,312,0.752,0.376,-12958653
40,2,9,186,317,0.826,0.413,-10191282
41,2,10,185,314,0.408,0.204,-12430232
42,2,11,180,299,2.040,1.020,-11046291
43,2,12,163,297,2.208,1.104,-13216425
44,2,13,163,310,1.677,0.839,-10917564
45,2,14,157,294,2.204,1.102,-9202549
46,2,15,152,262,4.178,2.089,-14270385
47,2,16,132,306,6.235,3.117,-14140599
48,2,17,140,303,1.102,0.551,-13878464
49,2,18,155,273,4.327,2.163,-14272203
50,2,19,138,299,4.007,2.004,-14533571
51,2,20,135,295,0.645,0.323,-11115409
52,2,21,160,251,6.528,3.264,-12758176
53,2,22,128,304,7.987,3.993,-13614514
54,2,23,128,280,3.096,1.548,-14337473
55,2,24,118,275,1.442,0.721,-13747654
56,2,25,143,251,4.471,2.235,-14010561
57,2,26,117,249,3.364,1.682,-14005938
58,2,27,100,279,4.448,2.224,-14597828
59,2,28,100,251,3.612,1.806,-13745589
60,2,29,100,236,1.935,0.968,-14602440
61,2,30,100,236,0.000,0.000,-13151918
62,2,31,100,220,2.064,1.032,-14534589
