 ,Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,1,1,258,360,-1.000,-1.000,-16776958
2,1,2,258,360,0.000,0.000,-16710912
3,1,3,258,375,1.935,0.968,-16053754
4,1,4,246,382,1.792,0.896,-15196906
5,1,5,252,376,1.095,0.547,-14274774
6,1,6,252,367,1.161,0.581,-14208215
7,1,7,252,367,0.000,0.000,-14209985
8,1,8,252,370,0.387,0.194,-14340054
9,1,9,255,377,0.982,0.491,-14405586
10,1,10,264,377,1.161,0.581,-14537682
11,1,11,258,360,2.326,1.163,-14930649
12,1,12,258,360,0.000,0.000,-14537425
13,1,13,263,360,0.645,0.323,-14735064
14,1,14,245,361,2.326,1.163,-13417913
15,1,15,249,375,1.878,0.939,-14668242
16,1,16,249,390,1.935,0.968,-14669021
17,1,17,249,375,1.935,0.968,-14536922
18,1,18,249,366,1.161,0.581,-13483454
19,1,19,258,361,1.328,0.664,-14734549
20,1,20,256,365,0.577,0.288,-14800857
21,1,21,239,365,2.193,1.097,-12563380
22,1,22,246,365,0.903,0.452,-14274253
23,1,23,250,368,0.645,0.323,-14669271
24,1,24,254,373,0.826,0.413,-14734810
25,1,25,254,374,0.129,0.065,-13682122
26,1,26,257,381,0.982,0.491,-14471642
27,1,27,257,378,0.387,0.194,-14340565
28,1,28,254,366,1.596,0.798,-14471638
29,1,29,252,359,0.939,0.470,-14931414
30,1,30,250,358,0.288,0.144,-14864342
31,1,31,245,373,2.040,1.020,-14668766
32,2,1,174,381,-1.000,-1.000,-16777216
33,2,2,157,380,2.197,1.098,-16381945
34,2,3,157,380,0.000,0.000,-15724530
35,2,4,156,380,0.129,0.065,-14736095
36,2,5,156,380,0.000,0.000,-12565437
37,2,6,156,362,2.322,1.161,-12037824
38,2,7,167,362,1.419,0.710,-12433849
39,2,8,184,355,2.372,1.186,-12825275
40,2,9,184,344,1.419,0.710,-13879755
41,2,10,184,344,0.000,0.000,-14011087
42,2,11,177,343,0.912,0.456,-13089736
43,2,12,174,343,0.387,0.194,-10784941
44,2,13,174,342,0.129,0.065,-7694738
45,2,14,174,341,0.129,0.065,-11314867
46,2,15,164,363,3.117,1.559,-7299449
47,2,16,149,380,2.925,1.462,-11313835
48,2,17,191,386,5.473,2.737,-12959680
49,2,18,170,368,3.568,1.784,-12826035
50,2,19,185,340,4.098,2.049,-12103603
51,2,20,187,358,2.336,1.168,-13288128
52,2,21,161,373,3.872,1.936,-12497072
53,2,22,161,379,0.774,0.387,-13548220
54,2,23,161,379,0.000,0.000,-11050402
55,2,24,156,379,0.645,0.323,-13287607
56,2,25,156,379,0.000,0.000,-13286588
57,2,26,161,376,0.752,0.376,-13683908
58,2,27,184,397,4.018,2.009,-12761032
59,2,28,170,368,4.154,2.077,-12892600
60,2,29,169,363,0.658,0.329,-8288908
61,2,30,163,368,1.008,0.504,-13483455
62,2,31,162,381,1.682,0.841,-13745599
