 ,Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,1,1,398,293,-1.000,-1.000,-16181999
2,1,2,400,293,0.258,0.129,-15455974
3,1,3,397,293,0.387,0.194,-16114423
4,1,4,397,300,0.903,0.452,-15919096
5,1,5,381,304,2.128,1.064,-14208728
6,1,6,392,304,1.419,0.710,-9729190
7,1,7,392,310,0.774,0.387,-13220292
8,1,8,390,304,0.816,0.408,-14205909
9,1,9,386,322,2.379,1.189,-12428724
10,1,10,356,322,3.870,1.935,-10388121
11,1,11,356,321,0.129,0.065,-14924491
12,1,12,357,325,0.532,0.266,-13874362
13,1,13,362,314,1.559,0.779,-14731982
14,1,14,362,314,0.000,0.000,-12555967
15,1,15,358,333,2.505,1.252,-15122890
16,1,16,345,338,1.797,0.898,-12359332
17,1,17,344,338,0.129,0.065,-10452875
18,1,18,344,338,0.000,0.000,-7688291
19,1,19,329,341,1.973,0.987,-13282720
20,1,20,344,341,1.935,0.968,-7032168
21,1,21,354,332,1.736,0.868,-14597059
22,1,22,356,338,0.816,0.408,-12361650
23,1,23,336,338,2.580,1.290,-11306126
24,1,24,353,338,2.193,1.097,-14399944
25,1,25,341,338,1.548,0.774,-8348780
26,1,26,341,338,0.000,0.000,-10255488
27,1,27,361,341,2.609,1.304,-13479357
28,1,28,348,342,1.682,0.841,-13282730
29,1,29,348,342,0.000,0.000,-13478842
30,1,30,348,342,0.000,0.000,-13020843
31,1,31,348,352,1.290,0.645,-11965865
32,2,1,270,330,-1.000,-1.000,-15986936
33,2,2,274,321,1.271,0.635,-16776448
34,2,3,329,313,7.170,3.585,-16775936
35,2,4,329,313,0.000,0.000,-11642077
36,2,5,322,313,0.903,0.452,-3152707
37,2,6,312,313,1.290,0.645,-7954820
38,2,7,321,313,1.161,0.581,-11577008
39,2,8,321,324,1.419,0.710,-10848411
40,2,9,320,321,0.408,0.204,-9465980
41,2,10,276,326,5.713,2.856,-11573415
42,2,11,300,326,3.096,1.548,-5719629
43,2,12,300,324,0.258,0.129,-12492686
44,2,13,298,330,0.816,0.408,-11963293
45,2,14,294,330,0.516,0.258,-11240322
46,2,15,294,326,0.516,0.258,-14005420
47,2,16,300,320,1.095,0.547,-10716540
48,2,17,309,318,1.189,0.595,-14070461
49,2,18,309,318,0.000,0.000,-13675190
50,2,19,309,318,0.000,0.000,-9533303
51,2,20,305,313,0.826,0.413,-11703445
52,2,21,300,313,0.645,0.323,-15056831
53,2,22,300,321,1.032,0.516,-11176321
54,2,23,302,332,1.442,0.721,-12163220
55,2,24,296,332,0.774,0.387,-12097692
56,2,25,296,332,0.000,0.000,-12426665
57,2,26,284,314,2.791,1.395,-14072252
58,2,27,293,324,1.736,0.868,-12886692
59,2,28,293,322,0.258,0.129,-9793381
60,2,29,293,322,0.000,0.000,-6107206
61,2,30,293,322,0.000,0.000,-5057588
62,2,31,294,318,0.532,0.266,-11570832
