 	Track n°	Slice n°	X	Y	Distance	Velocity	Pixel Value
1	1	1	571	209	-1.000	-1.000	-16777216
2	1	2	571	209	0.000	0.000	-16711675
3	1	3	571	204	0.645	0.323	-16777192
4	1	4	571	199	0.645	0.323	-15980993
5	1	5	571	199	0.000	0.000	-13222828
6	1	6	571	199	0.000	0.000	-10919034
7	1	7	570	199	0.129	0.065	-7298897
8	1	8	566	194	0.826	0.413	-11178364
9	1	9	573	201	1.277	0.639	-14927266
10	1	10	573	201	0.000	0.000	-15384459
11	1	11	572	201	0.129	0.065	-15122563
12	1	12	572	201	0.000	0.000	-13938807
13	1	13	572	200	0.129	0.065	-14657916
14	1	14	572	200	0.000	0.000	-14200457
15	1	15	572	204	0.516	0.258	-16242877
16	1	16	570	204	0.258	0.129	-15126430
17	1	17	570	204	0.000	0.000	-14864296
18	1	18	569	203	0.182	0.091	-10977881
19	1	19	569	200	0.387	0.194	-6900021
20	1	20	569	199	0.129	0.065	-9464416
21	1	21	567	192	0.939	0.470	-13082018
22	1	22	567	202	1.290	0.645	-12029563
23	1	23	568	202	0.129	0.065	-9925460
24	1	24	569	202	0.129	0.065	-11306844
25	1	25	569	198	0.516	0.258	-9728849
26	1	26	569	190	1.032	0.516	-14726547
27	1	27	571	198	1.064	0.532	-8349482
28	1	28	576	208	1.442	0.721	-11963557
29	1	29	572	202	0.930	0.465	-14071171
30	1	30	564	202	1.032	0.516	-15849693
31	1	31	564	196	0.774	0.387	-15388128
32	2	1	622	150	-1.000	-1.000	-16777216
33	2	2	630	164	2.080	1.040	-16776190
34	2	3	629	164	0.129	0.065	-14143968
35	2	4	629	164	0.000	0.000	-16775158
36	2	5	629	163	0.129	0.065	-14076102
37	2	6	627	158	0.695	0.347	-14665686
38	2	7	622	158	0.645	0.323	-11904987
39	2	8	622	167	1.161	0.581	-10783372
40	2	9	615	167	0.903	0.452	-10064547
41	2	10	624	162	1.328	0.664	-11113350
42	2	11	624	155	0.903	0.452	-12290703
43	2	12	631	161	1.189	0.595	-14198953
44	2	13	626	161	0.645	0.323	-13739431
45	2	14	618	161	1.032	0.516	-13082062
46	2	15	621	156	0.752	0.376	-9400177
47	2	16	623	154	0.365	0.182	-11764097
48	2	17	631	154	1.032	0.516	-12957364
49	2	18	627	154	0.516	0.258	-13414573
50	2	19	627	157	0.387	0.194	-10520184
51	2	20	627	157	0.000	0.000	-12098454
52	2	21	625	159	0.365	0.182	-9731153
53	2	22	631	159	0.774	0.387	-10123399
54	2	23	631	159	0.000	0.000	-10188139
55	2	24	627	150	1.271	0.635	-13085383
56	2	25	616	150	1.419	0.710	-12296108
57	2	26	634	153	2.354	1.177	-14797248
58	2	27	627	153	0.903	0.452	-13349056
59	2	28	624	153	0.387	0.194	-12691621
60	2	29	624	150	0.387	0.194	-11966114
61	2	30	624	150	0.000	0.000	-11702441
62	2	31	628	150	0.516	0.258	-11907002
