 ,Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,1,1,104,159,-1.000,-1.000,-16777183
2,1,2,107,148,1.471,0.735,-16776690
3,1,3,106,148,0.129,0.065,-16315109
4,1,4,106,153,0.645,0.323,-15198924
5,1,5,106,176,2.967,1.484,-12693420
6,1,6,106,158,2.322,1.161,-14207913
7,1,7,106,158,0.000,0.000,-13616810
8,1,8,106,158,0.000,0.000,-14010036
9,1,9,114,158,1.032,0.516,-13545397
10,1,10,132,151,2.491,1.246,-14734283
11,1,11,135,151,0.387,0.194,-14997982
12,1,12,135,151,0.000,0.000,-14144218
13,1,13,135,151,0.000,0.000,-14469333
14,1,14,147,156,1.677,0.839,-14602448
15,1,15,136,162,1.616,0.808,-14009549
16,1,16,141,158,0.826,0.413,-14667982
17,1,17,157,157,2.068,1.034,-15258072
18,1,18,148,155,1.189,0.595,-14603988
19,1,19,143,163,1.217,0.608,-13287103
20,1,20,140,163,0.387,0.194,-14403529
21,1,21,140,153,1.290,0.645,-14669520
22,1,22,153,155,1.697,0.848,-14734553
23,1,23,147,155,0.774,0.387,-12758202
24,1,24,156,155,1.161,0.581,-14473170
25,1,25,156,155,0.000,0.000,-14471642
26,1,26,150,151,0.930,0.465,-14665923
27,1,27,141,151,1.161,0.581,-14264949
28,1,28,143,151,0.258,0.129,-14143404
29,1,29,181,146,4.944,2.472,-15128792
30,1,30,184,146,0.387,0.194,-14996429
31,1,31,195,160,2.297,1.148,-14603224
