 ,Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,1,1,250,333,-1.000,-1.000,-16774912
2,1,2,240,337,1.389,0.695,-16774656
3,1,3,238,340,0.465,0.233,-16774144
4,1,4,234,334,0.930,0.465,-16180469
5,1,5,231,334,0.387,0.194,-14471130
6,1,6,232,330,0.532,0.266,-13747417
7,1,7,228,336,0.930,0.465,-14536143
8,1,8,221,331,1.110,0.555,-14732756
9,1,9,212,324,1.471,0.735,-14534830
10,1,10,214,323,0.288,0.144,-14863292
11,1,11,204,318,1.442,0.721,-14861475
12,1,12,207,310,1.102,0.551,-15317434
13,1,13,207,298,1.548,0.774,-13284019
14,1,14,210,291,0.982,0.491,-14468542
15,1,15,211,291,0.129,0.065,-13678015
16,1,16,212,282,1.168,0.584,-15124154
17,1,17,212,271,1.419,0.710,-11301549
18,1,18,213,270,0.182,0.091,-14072246
19,1,19,218,264,1.008,0.504,-14465209
20,1,20,217,261,0.408,0.204,-13350328
21,1,21,217,261,0.000,0.000,-12757671
22,1,22,217,261,0.000,0.000,-13476271
23,1,23,216,261,0.129,0.065,-12229009
24,1,24,216,261,0.000,0.000,-12818566
25,1,25,216,261,0.000,0.000,-11964550
26,1,26,216,262,0.129,0.065,-14202791
27,1,27,216,262,0.000,0.000,-14659253
28,1,28,216,262,0.000,0.000,-13087911
29,1,29,216,257,0.645,0.323,-11440281
30,1,30,216,263,0.774,0.387,-13083291
31,1,31,216,262,0.129,0.065,-13805990
32,2,1,212,250,-1.000,-1.000,-16710912
33,2,2,212,241,1.161,0.581,-15916800
34,2,3,214,247,0.816,0.408,-16775168
35,2,4,217,247,0.387,0.194,-14327040
36,2,5,224,261,2.019,1.010,-14472402
37,2,6,229,247,1.918,0.959,-14069988
38,2,7,226,244,0.547,0.274,-14207188
39,2,8,231,244,0.645,0.323,-14602448
40,2,9,218,232,2.282,1.141,-14600900
41,2,10,233,232,1.935,0.968,-15256269
42,2,11,236,225,0.982,0.491,-15519441
43,2,12,237,213,1.553,0.777,-13407680
44,2,13,257,224,2.944,1.472,-11101870
45,2,14,257,208,2.064,1.032,-15323097
46,2,15,240,199,2.481,1.241,-15257043
47,2,16,268,213,4.038,2.019,-14855626
48,2,17,276,204,1.553,0.777,-16045532
49,2,18,277,198,0.785,0.392,-14535628
50,2,19,284,211,1.905,0.952,-14929117
51,2,20,287,214,0.547,0.274,-13539794
52,2,21,287,209,0.645,0.323,-14667230
53,2,22,284,195,1.847,0.923,-15318477
54,2,23,288,192,0.645,0.323,-15057356
55,2,24,289,204,1.553,0.777,-16636633
56,2,25,287,222,2.336,1.168,-15454185
57,2,26,285,230,1.064,0.532,-14468819
58,2,27,285,231,0.129,0.065,-14929620
59,2,28,288,218,1.721,0.861,-15517658
60,2,29,285,210,1.102,0.551,-15519447
61,2,30,275,201,1.736,0.868,-15653343
62,2,31,284,201,1.161,0.581,-15319776
