 ,Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,1,1,361,355,-1.000,-1.000,-16579584
2,1,2,358,351,0.645,0.323,-15920894
3,1,3,352,359,1.290,0.645,-15721959
4,1,4,347,367,1.217,0.608,-13813721
5,1,5,345,367,0.258,0.129,-11444911
6,1,6,350,359,1.217,0.608,-12758463
7,1,7,339,368,1.833,0.917,-10717857
8,1,8,344,363,0.912,0.456,-9337227
9,1,9,353,364,1.168,0.584,-12623015
10,1,10,308,357,5.875,2.937,-6836554
11,1,11,307,355,0.288,0.144,-7493204
12,1,12,308,354,0.182,0.091,-12097678
13,1,13,310,358,0.577,0.288,-12754846
14,1,14,316,369,1.616,0.808,-12886708
15,1,15,322,371,0.816,0.408,-13806754
16,1,16,324,373,0.365,0.182,-11638681
17,1,17,328,374,0.532,0.266,-12425889
18,1,18,323,374,0.645,0.323,-12951694
19,1,19,328,371,0.752,0.376,-14330804
20,1,20,331,366,0.752,0.376,-14194614
21,1,21,338,368,0.939,0.470,-14659526
22,1,22,334,361,1.040,0.520,-12164522
23,1,23,335,365,0.532,0.266,-13676726
24,1,24,339,369,0.730,0.365,-13995954
25,1,25,337,363,0.816,0.408,-14134973
26,1,26,342,371,1.217,0.608,-13932998
27,1,27,338,362,1.271,0.635,-13608120
28,1,28,336,369,0.939,0.470,-14466743
29,1,29,338,368,0.288,0.144,-13607340
30,1,30,342,378,1.389,0.695,-15513546
31,1,31,343,367,1.425,0.712,-9925506
32,2,1,424,413,-1.000,-1.000,-16776960
33,2,2,431,419,1.189,0.595,-16776704
34,2,3,430,424,0.658,0.329,-16776192
35,2,4,435,423,0.658,0.329,-16051197
36,2,5,438,421,0.465,0.233,-13811927
37,2,6,437,416,0.658,0.329,-13155280
38,2,7,434,423,0.982,0.491,-13549784
39,2,8,427,428,1.110,0.555,-13087953
40,2,9,424,429,0.408,0.204,-14270930
41,2,10,396,438,3.794,1.897,-13612479
42,2,11,396,440,0.258,0.129,-13217990
43,2,12,403,433,1.277,0.639,-14662590
44,2,13,399,443,1.389,0.695,-15320520
45,2,14,403,449,0.930,0.465,-15715286
46,2,15,410,441,1.371,0.686,-15122369
47,2,16,401,452,1.833,0.917,-15517131
48,2,17,399,444,1.064,0.532,-15255758
49,2,18,392,454,1.575,0.787,-13217988
50,2,19,403,446,1.755,0.877,-15452108
51,2,20,397,448,0.816,0.408,-15190223
52,2,21,406,448,1.161,0.581,-15911117
53,2,22,413,449,0.912,0.456,-15450835
54,2,23,416,443,0.865,0.433,-15253444
55,2,24,413,456,1.721,0.861,-12691904
56,2,25,417,454,0.577,0.288,-15847115
57,2,26,432,455,1.939,0.970,-14600144
58,2,27,418,463,2.080,1.040,-13086151
59,2,28,404,468,1.918,0.959,-15586263
60,2,29,417,473,1.797,0.898,-15520720
61,2,30,410,478,1.110,0.555,-16777216
62,2,31,408,474,0.577,0.288,-15586520
