 ,Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,1,1,233,321,-1.000,-1.000,-14997982
2,1,2,234,320,0.182,0.091,-15783401
3,1,3,236,318,0.365,0.182,-16764145
4,1,4,233,310,1.102,0.551,-10190242
5,1,5,221,314,1.632,0.816,-10784661
6,1,6,238,321,2.372,1.186,-10321040
7,1,7,237,323,0.288,0.144,-10780035
8,1,8,245,319,1.154,0.577,-13348521
9,1,9,240,312,1.110,0.555,-12224121
10,1,10,234,320,1.290,0.645,-13610386
11,1,11,213,317,2.737,1.368,-9722232
12,1,12,213,313,0.516,0.258,-8209245
13,1,13,213,311,0.258,0.129,-7685210
14,1,14,207,300,1.616,0.808,-12491445
15,1,15,207,292,1.032,0.516,-14264736
16,1,16,229,285,2.978,1.489,-6371164
17,1,17,214,282,1.973,0.987,-14396097
18,1,18,206,286,1.154,0.577,-13806762
19,1,19,211,283,0.752,0.376,-14135214
20,1,20,209,280,0.465,0.233,-12948651
21,1,21,207,288,1.064,0.532,-13807540
22,1,22,200,272,2.253,1.126,-14396846
23,1,23,200,265,0.903,0.452,-14002589
24,1,24,191,263,1.189,0.595,-12820635
25,1,25,191,268,0.645,0.323,-13347494
26,1,26,181,267,1.296,0.648,-12359296
27,1,27,186,266,0.658,0.329,-13018750
28,1,28,183,264,0.465,0.233,-7882802
29,1,29,183,258,0.774,0.387,-11962254
30,1,30,174,260,1.189,0.595,-13739170
31,1,31,169,262,0.695,0.347,-11369317
32,2,1,140,196,-1.000,-1.000,-15721428
33,2,2,142,198,0.365,0.182,-15196107
34,2,3,142,203,0.645,0.323,-14535624
35,2,4,168,209,3.442,1.721,-12167379
36,2,5,142,252,6.482,3.241,-6970211
37,2,6,137,236,2.162,1.081,-7426651
38,2,7,140,226,1.347,0.673,-10386795
39,2,8,165,217,3.428,1.714,-11442056
40,2,9,193,208,3.794,1.897,-13741999
41,2,10,155,242,6.578,3.289,-11633794
42,2,11,138,248,2.326,1.163,-11305330
43,2,12,130,240,1.459,0.730,-8607549
44,2,13,134,213,3.521,1.761,-12160118
45,2,14,124,204,1.736,0.868,-14068635
46,2,15,117,194,1.575,0.787,-13345942
47,2,16,117,189,0.645,0.323,-14202791
48,2,17,144,198,3.671,1.836,-14724756
49,2,18,142,188,1.316,0.658,-12950430
50,2,19,139,181,0.982,0.491,-13479594
51,2,20,120,179,2.465,1.232,-13806754
52,2,21,101,194,3.123,1.561,-10779773
53,2,22,113,180,2.379,1.189,-13413257
54,2,23,128,168,2.478,1.239,-14335909
55,2,24,123,167,0.658,0.329,-14334102
56,2,25,100,195,4.674,2.337,-7884881
57,2,26,93,193,0.939,0.470,-6962766
58,2,27,103,177,2.434,1.217,-11114378
59,2,28,131,170,3.723,1.862,-14138279
60,2,29,133,161,1.189,0.595,-14727856
61,2,30,100,167,4.327,2.163,-15125946
62,2,31,97,168,0.408,0.204,-14074538
