 ,Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,1,1,485,282,-1.000,-1.000,-16776960
2,1,2,484,287,0.658,0.329,-16776192
3,1,3,479,288,0.658,0.329,-16775935
4,1,4,476,285,0.547,0.274,-15919094
5,1,5,475,277,1.040,0.520,-12232368
6,1,6,471,275,0.577,0.288,-13353170
7,1,7,472,279,0.532,0.266,-12233138
8,1,8,471,278,0.182,0.091,-12562365
9,1,9,476,281,0.752,0.376,-13944259
10,1,10,478,280,0.288,0.144,-14271177
11,1,11,475,279,0.408,0.204,-13417925
12,1,12,471,290,1.510,0.755,-13086925
13,1,13,471,286,0.516,0.258,-13878739
14,1,14,469,285,0.288,0.144,-14207688
15,1,15,467,284,0.288,0.144,-14339027
16,1,16,462,280,0.826,0.413,-14602967
17,1,17,469,282,0.939,0.470,-14009801
18,1,18,464,286,0.826,0.413,-14603485
19,1,19,468,280,0.930,0.465,-14010840
20,1,20,462,277,0.865,0.433,-15062487
21,1,21,472,285,1.652,0.826,-14011077
22,1,22,470,283,0.365,0.182,-13352898
23,1,23,470,283,0.000,0.000,-13286602
24,1,24,475,287,0.826,0.413,-14339017
25,1,25,471,284,0.645,0.323,-14668255
26,1,26,473,285,0.288,0.144,-14866909
27,1,27,473,282,0.387,0.194,-14667990
28,1,28,474,281,0.182,0.091,-14141133
29,1,29,472,280,0.288,0.144,-12299961
30,1,30,472,279,0.129,0.065,-11444402
31,1,31,478,283,0.930,0.465,-14733783
32,2,1,415,307,-1.000,-1.000,-16774655
33,2,2,422,317,1.575,0.787,-16775933
34,2,3,411,314,1.471,0.735,-16447487
35,2,4,408,307,0.982,0.491,-10327754
36,2,5,409,306,0.182,0.091,-7499928
37,2,6,412,300,0.865,0.433,-7825795
38,2,7,412,287,1.677,0.839,-12301247
39,2,8,409,283,0.645,0.323,-13351879
40,2,9,411,277,0.816,0.408,-13944018
41,2,10,406,276,0.658,0.329,-13812432
42,2,11,408,276,0.258,0.129,-13681360
43,2,12,408,273,0.387,0.194,-14799841
44,2,13,402,279,1.095,0.547,-11707593
45,2,14,404,274,0.695,0.347,-13616078
46,2,15,415,271,1.471,0.735,-14471138
47,2,16,415,265,0.774,0.387,-14208720
48,2,17,412,262,0.547,0.274,-14863837
49,2,18,410,285,2.978,1.489,-12562129
50,2,19,424,270,2.647,1.323,-14338514
51,2,20,417,272,0.939,0.470,-13747917
52,2,21,414,281,1.224,0.612,-14339803
53,2,22,413,286,0.658,0.329,-9207708
54,2,23,406,291,1.110,0.555,-11639216
55,2,24,411,295,0.826,0.413,-9798574
56,2,25,407,290,0.826,0.413,-7627922
57,2,26,410,295,0.752,0.376,-9208976
58,2,27,416,288,1.189,0.595,-9864868
59,2,28,412,295,1.040,0.520,-6706050
60,2,29,408,284,1.510,0.755,-11904181
61,2,30,414,288,0.930,0.465,-7103375
62,2,31,415,299,1.425,0.712,-9208954
