 ,Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,1.000,1.000,341.000,203.000,-1.000,-1.000,-16776960.000
2,1.000,2.000,342.000,203.000,0.129,0.064,-16776192.000
3,1.000,3.000,342.000,200.000,0.387,0.194,-16775424.000
4,1.000,4.000,335.000,200.000,0.903,0.452,-15788280.000
5,1.000,5.000,332.000,203.000,0.547,0.274,-13683415.000
6,1.000,6.000,332.000,203.000,0.000,0.000,-14143964.000
7,1.000,7.000,328.000,208.000,0.826,0.413,-14142424.000
8,1.000,8.000,327.000,209.000,0.182,0.091,-14734559.000
9,1.000,9.000,326.000,210.000,0.182,0.091,-14142683.000
10,1.000,10.000,334.000,210.000,1.032,0.516,-14996704.000
11,1.000,11.000,339.000,215.000,0.912,0.456,-14603218.000
12,1.000,12.000,339.000,217.000,0.258,0.129,-14602462.000
13,1.000,13.000,340.000,219.000,0.288,0.144,-14340313.000
14,1.000,14.000,340.000,221.000,0.258,0.129,-13089738.000
15,1.000,15.000,340.000,222.000,0.129,0.064,-13680084.000
16,1.000,16.000,340.000,222.000,0.000,0.000,-12168121.000
17,1.000,17.000,346.000,232.000,1.504,0.752,-13486038.000
18,1.000,18.000,334.000,233.000,1.553,0.777,-14142175.000
19,1.000,19.000,327.000,227.000,1.189,0.595,-13220293.000
20,1.000,20.000,323.000,230.000,0.645,0.322,-14010586.000
21,1.000,21.000,320.000,238.000,1.102,0.551,-13617109.000
22,1.000,22.000,320.000,239.000,0.129,0.064,-14600906.000
23,1.000,23.000,320.000,236.000,0.387,0.194,-13944532.000
24,1.000,24.000,321.000,236.000,0.129,0.064,-14602723.000
25,1.000,25.000,321.000,241.000,0.645,0.322,-14274020.000
26,1.000,26.000,320.000,238.000,0.408,0.204,-14799327.000
27,1.000,27.000,320.000,232.000,0.774,0.387,-14406109.000
28,1.000,28.000,320.000,232.000,0.000,0.000,-14537180.000
29,1.000,29.000,320.000,227.000,0.645,0.322,-14799841.000
30,1.000,30.000,320.000,233.000,0.774,0.387,-14536656.000
31,1.000,31.000,318.000,233.000,0.258,0.129,-13814993.000
32,2.000,1.000,307.000,280.000,-1.000,-1.000,-16776960.000
33,2.000,2.000,307.000,297.000,2.193,1.096,-16776448.000
34,2.000,3.000,307.000,298.000,0.129,0.064,-16709888.000
35,2.000,4.000,298.000,299.000,1.168,0.584,-14406376.000
36,2.000,5.000,310.000,304.000,1.677,0.838,-14142165.000
37,2.000,6.000,327.000,325.000,3.485,1.743,-14866149.000
38,2.000,7.000,322.000,325.000,0.645,0.322,-14208727.000
39,2.000,8.000,322.000,319.000,0.774,0.387,-13879762.000
40,2.000,9.000,323.000,319.000,0.129,0.064,-14339552.000
41,2.000,10.000,325.000,331.000,1.569,0.785,-14340052.000
42,2.000,11.000,325.000,333.000,0.258,0.129,-14142934.000
43,2.000,12.000,325.000,317.000,2.064,1.032,-14537180.000
44,2.000,13.000,325.000,328.000,1.419,0.710,-14536402.000
45,2.000,14.000,329.000,333.000,0.826,0.413,-12562111.000
46,2.000,15.000,336.000,339.000,1.189,0.595,-13877698.000
47,2.000,16.000,336.000,325.000,1.806,0.903,-13878225.000
48,2.000,17.000,343.000,322.000,0.982,0.491,-12233918.000
49,2.000,18.000,349.000,318.000,0.930,0.465,-14141646.000
50,2.000,19.000,354.000,331.000,1.797,0.898,-14668516.000
51,2.000,20.000,335.000,336.000,2.534,1.267,-13681614.000
52,2.000,21.000,339.000,324.000,1.632,0.816,-14932189.000
53,2.000,22.000,367.000,316.000,3.757,1.878,-12366272.000
54,2.000,23.000,349.000,313.000,2.354,1.177,-14339541.000
55,2.000,24.000,356.000,282.000,4.100,2.050,-14075604.000
56,2.000,25.000,365.000,280.000,1.189,0.595,-11706802.000
57,2.000,26.000,333.000,310.000,5.658,2.829,-14866648.000
58,2.000,27.000,293.000,318.000,5.262,2.631,-14275037.000
59,2.000,28.000,281.000,297.000,3.120,1.560,-11707323.000
60,2.000,29.000,270.000,282.000,2.400,1.200,-11050143.000
61,2.000,30.000,270.000,267.000,1.935,0.968,-9992326.000
62,2.000,31.000,250.000,281.000,3.149,1.575,-13612746.000
