 ,Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,1.000,1.000,312.000,199.000,-1.000,-1.000,-16182507.000
2,1.000,2.000,298.000,205.000,1.965,0.982,-16377343.000
3,1.000,3.000,295.000,210.000,0.752,0.376,-16775936.000
4,1.000,4.000,295.000,210.000,0.000,0.000,-16775424.000
5,1.000,5.000,290.000,215.000,0.912,0.456,-16180198.000
6,1.000,6.000,290.000,216.000,0.129,0.064,-15786989.000
7,1.000,7.000,290.000,216.000,0.000,0.000,-16049382.000
8,1.000,8.000,290.000,216.000,0.000,0.000,-16048362.000
9,1.000,9.000,290.000,216.000,0.000,0.000,-15392750.000
10,1.000,10.000,289.000,222.000,0.785,0.392,-13941193.000
11,1.000,11.000,280.000,222.000,1.161,0.580,-16116204.000
12,1.000,12.000,271.000,222.000,1.161,0.580,-15655663.000
13,1.000,13.000,270.000,222.000,0.129,0.064,-16442871.000
14,1.000,14.000,270.000,222.000,0.000,0.000,-15984877.000
15,1.000,15.000,273.000,222.000,0.387,0.194,-16048881.000
16,1.000,16.000,273.000,222.000,0.000,0.000,-16180716.000
17,1.000,17.000,273.000,222.000,0.000,0.000,-16311788.000
18,1.000,18.000,273.000,222.000,0.000,0.000,-15720678.000
19,1.000,19.000,274.000,222.000,0.129,0.064,-16574447.000
20,1.000,20.000,266.000,222.000,1.032,0.516,-16047851.000
21,1.000,21.000,266.000,222.000,0.000,0.000,-15916519.000
22,1.000,22.000,240.000,231.000,3.549,1.775,-16179689.000
23,1.000,23.000,239.000,235.000,0.532,0.266,-16113644.000
24,1.000,24.000,239.000,238.000,0.387,0.194,-15058890.000
25,1.000,25.000,213.000,235.000,3.376,1.688,-15851502.000
26,1.000,26.000,183.000,216.000,4.581,2.290,-14929370.000
27,1.000,27.000,182.000,201.000,1.939,0.970,-14667731.000
28,1.000,28.000,190.000,201.000,1.032,0.516,-14931160.000
29,1.000,29.000,190.000,202.000,0.129,0.064,-14865091.000
30,1.000,30.000,183.000,202.000,0.903,0.452,-13613235.000
31,1.000,31.000,176.000,198.000,1.040,0.520,-14071468.000
32,2.000,1.000,216.000,193.000,-1.000,-1.000,-16777211.000
33,2.000,2.000,185.000,179.000,4.388,2.194,-16776955.000
34,2.000,3.000,201.000,181.000,2.080,1.040,-16776192.000
35,2.000,4.000,176.000,197.000,3.829,1.914,-16769996.000
36,2.000,5.000,172.000,203.000,0.930,0.465,-10847611.000
37,2.000,6.000,172.000,203.000,0.000,0.000,-1837577.000
38,2.000,7.000,173.000,208.000,0.658,0.329,-14730665.000
39,2.000,8.000,175.000,219.000,1.442,0.721,-13681087.000
40,2.000,9.000,175.000,217.000,0.258,0.129,-14997456.000
41,2.000,10.000,172.000,217.000,0.387,0.194,-15453899.000
42,2.000,11.000,149.000,203.000,3.473,1.737,-14864319.000
43,2.000,12.000,141.000,209.000,1.290,0.645,-14204072.000
44,2.000,13.000,167.000,201.000,3.509,1.755,-13876423.000
45,2.000,14.000,166.000,207.000,0.785,0.392,-14134428.000
46,2.000,15.000,137.000,200.000,3.848,1.924,-10848128.000
47,2.000,16.000,168.000,201.000,4.001,2.001,-13809060.000
48,2.000,17.000,163.000,197.000,0.826,0.413,-14204082.000
49,2.000,18.000,175.000,182.000,2.478,1.239,-13086905.000
50,2.000,19.000,212.000,165.000,5.253,2.626,-15721458.000
51,2.000,20.000,222.000,155.000,1.824,0.912,-15919078.000
52,2.000,21.000,198.000,146.000,3.307,1.653,-15588833.000
53,2.000,22.000,174.000,147.000,3.099,1.549,-12103116.000
54,2.000,23.000,231.000,150.000,7.363,3.682,-16442859.000
55,2.000,24.000,252.000,151.000,2.712,1.356,-13614047.000
56,2.000,25.000,273.000,131.000,3.741,1.870,-15984366.000
57,2.000,26.000,281.000,135.000,1.154,0.577,-11704520.000
58,2.000,27.000,276.000,126.000,1.328,0.664,-15919338.000
59,2.000,28.000,271.000,113.000,1.797,0.898,-15522539.000
60,2.000,29.000,306.000,141.000,5.782,2.891,-2953238.000
61,2.000,30.000,281.000,176.000,5.548,2.774,-9860776.000
62,2.000,31.000,241.000,231.000,8.773,4.386,-9927798.000
