 ,Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,1.000,1.000,261.000,30.000,-1.000,-1.000,-16711421.000
2,1.000,2.000,257.000,28.000,0.577,0.288,-14997207.000
3,1.000,3.000,289.000,38.000,4.325,2.162,-16773370.000
4,1.000,4.000,297.000,43.000,1.217,0.608,-16772349.000
5,1.000,5.000,321.000,54.000,3.406,1.703,-16437746.000
6,1.000,6.000,343.000,70.000,3.509,1.755,-16766208.000
7,1.000,7.000,361.000,88.000,3.284,1.642,-10059673.000
8,1.000,8.000,411.000,121.000,7.728,3.864,-16765440.000
9,1.000,9.000,409.000,136.000,1.952,0.976,-9993363.000
10,1.000,10.000,409.000,144.000,1.032,0.516,-16632320.000
11,1.000,11.000,409.000,144.000,0.000,0.000,-13278665.000
12,1.000,12.000,409.000,144.000,0.000,0.000,-12820665.000
13,1.000,13.000,409.000,152.000,1.032,0.516,-16764928.000
14,1.000,14.000,409.000,151.000,0.129,0.064,-15910144.000
15,1.000,15.000,408.000,150.000,0.182,0.091,-16766464.000
16,1.000,16.000,407.000,150.000,0.129,0.064,-16239097.000
17,1.000,17.000,407.000,150.000,0.000,0.000,-11241139.000
18,1.000,18.000,406.000,161.000,1.425,0.712,-16631277.000
19,1.000,19.000,420.000,177.000,2.743,1.371,-16169210.000
20,1.000,20.000,436.000,218.000,5.677,2.839,-6901049.000
21,1.000,21.000,475.000,198.000,5.654,2.827,-16759034.000
22,1.000,22.000,499.000,197.000,3.099,1.549,-10519199.000
23,1.000,23.000,519.000,178.000,3.559,1.779,-15843323.000
24,1.000,24.000,542.000,151.000,4.575,2.288,-15317476.000
25,1.000,25.000,538.000,115.000,4.673,2.336,-13675972.000
26,1.000,26.000,556.000,81.000,4.963,2.481,-15778546.000
27,1.000,27.000,572.000,69.000,2.580,1.290,-13874668.000
28,1.000,28.000,586.000,47.000,3.364,1.682,-14332119.000
29,1.000,29.000,613.000,22.000,4.747,2.373,-16502510.000
30,2.000,1.000,381.000,116.000,-1.000,-1.000,-16775678.000
31,2.000,2.000,409.000,120.000,3.649,1.824,-15061459.000
32,2.000,3.000,410.000,140.000,2.583,1.292,-14069707.000
33,2.000,4.000,427.000,153.000,2.761,1.380,-12493490.000
34,2.000,5.000,419.000,185.000,4.255,2.128,-10779283.000
35,2.000,6.000,447.000,196.000,3.881,1.940,-11174557.000
36,2.000,7.000,448.000,232.000,4.646,2.323,-11437476.000
37,2.000,8.000,464.000,250.000,3.107,1.553,-16564480.000
38,2.000,9.000,468.000,256.000,0.930,0.465,-15055088.000
39,2.000,10.000,473.000,265.000,1.328,0.664,-16174333.000
40,2.000,11.000,473.000,252.000,1.677,0.838,-16568041.000
41,2.000,12.000,491.000,235.000,3.194,1.597,-16768256.000
42,2.000,13.000,452.000,259.000,5.907,2.954,-16696063.000
43,2.000,14.000,490.000,201.000,8.945,4.472,-16756992.000
44,2.000,15.000,506.000,230.000,4.273,2.136,-10714519.000
45,2.000,16.000,472.000,258.000,5.682,2.841,-16767488.000
46,2.000,17.000,505.000,203.000,8.274,4.137,-15252224.000
47,2.000,18.000,525.000,174.000,4.544,2.272,-16497407.000
48,2.000,19.000,540.000,162.000,2.478,1.239,-14923255.000
49,2.000,20.000,552.000,135.000,3.812,1.906,-16770048.000
50,2.000,21.000,555.000,107.000,3.633,1.816,-16767744.000
51,2.000,22.000,563.000,77.000,4.005,2.003,-16768256.000
52,2.000,23.000,581.000,48.000,4.403,2.202,-16772608.000
53,2.000,24.000,609.000,26.000,4.594,2.297,-14989283.000
