 ,Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,1.000,1.000,261.000,199.000,-1.000,-1.000,-15657428.000
2,1.000,2.000,261.000,200.000,0.129,0.064,-14667728.000
3,1.000,3.000,263.000,200.000,0.258,0.129,-13281968.000
4,1.000,4.000,272.000,190.000,1.736,0.868,-15389391.000
5,1.000,5.000,274.000,191.000,0.288,0.144,-11375035.000
6,1.000,6.000,278.000,188.000,0.645,0.322,-6440827.000
7,1.000,7.000,283.000,183.000,0.912,0.456,-9332880.000
8,1.000,8.000,289.000,176.000,1.189,0.595,-9204097.000
9,1.000,9.000,292.000,175.000,0.408,0.204,-11831971.000
10,1.000,10.000,294.000,164.000,1.442,0.721,-9660541.000
11,1.000,11.000,307.000,152.000,2.282,1.141,-9925017.000
12,1.000,12.000,314.000,139.000,1.905,0.952,-7884941.000
13,1.000,13.000,329.000,126.000,2.561,1.280,-7822982.000
14,1.000,14.000,329.000,125.000,0.129,0.064,-9466495.000
15,1.000,15.000,333.000,119.000,0.930,0.465,-12094907.000
16,1.000,16.000,345.000,115.000,1.632,0.816,-8873368.000
17,1.000,17.000,350.000,106.000,1.328,0.664,-4664670.000
18,1.000,18.000,354.000,102.000,0.730,0.365,-7687052.000
19,1.000,19.000,371.000,86.000,3.012,1.506,-9732538.000
20,1.000,20.000,375.000,83.000,0.645,0.322,-11116726.000
21,1.000,21.000,376.000,83.000,0.129,0.064,-6443865.000
22,1.000,22.000,376.000,90.000,0.903,0.452,-10983596.000
23,1.000,23.000,376.000,78.000,1.548,0.774,-9138320.000
24,1.000,24.000,399.000,55.000,4.196,2.098,-8087212.000
25,1.000,25.000,410.000,52.000,1.471,0.735,-5520784.000
26,1.000,26.000,431.000,39.000,3.186,1.593,-12293036.000
27,1.000,27.000,445.000,34.000,1.918,0.959,-10782631.000
28,1.000,28.000,452.000,35.000,0.912,0.456,-11377839.000
29,1.000,29.000,463.000,34.000,1.425,0.712,-9799834.000
30,1.000,30.000,469.000,32.000,0.816,0.408,-6572905.000
31,1.000,31.000,476.000,24.000,1.371,0.686,-9401766.000
32,3.000,1.000,333.000,132.000,-1.000,-1.000,-16775680.000
33,2.000,2.000,336.000,132.000,0.387,0.194,-16704250.000
34,2.000,3.000,335.000,125.000,0.912,0.456,-16774144.000
35,2.000,4.000,328.000,114.000,1.682,0.841,-16642304.000
36,2.000,5.000,346.000,121.000,2.491,1.246,-14533358.000
37,2.000,6.000,344.000,110.000,1.442,0.721,-13750237.000
38,2.000,7.000,367.000,133.000,4.196,2.098,-11243732.000
39,2.000,8.000,367.000,113.000,2.580,1.290,-11039660.000
40,2.000,9.000,349.000,96.000,3.194,1.597,-12494828.000
41,2.000,10.000,378.000,89.000,3.848,1.924,-10518696.000
42,2.000,11.000,372.000,75.000,1.965,0.982,-14598625.000
43,2.000,12.000,390.000,59.000,3.107,1.553,-7292268.000
44,2.000,13.000,412.000,78.000,3.750,1.875,-6307691.000
45,2.000,14.000,395.000,60.000,3.194,1.597,-13019105.000
46,2.000,15.000,424.000,59.000,3.743,1.872,-8210811.000
47,2.000,16.000,412.000,44.000,2.478,1.239,-10780324.000
48,2.000,17.000,429.000,35.000,2.481,1.241,-8477055.000
49,2.000,18.000,430.000,33.000,0.288,0.144,-10778527.000
50,2.000,19.000,455.000,24.000,3.428,1.714,-8873622.000
51,2.000,20.000,426.000,25.000,3.743,1.872,-11967443.000
52,2.000,21.000,388.000,20.000,4.944,2.472,-13815807.000
53,2.000,22.000,456.000,55.000,9.866,4.933,-9467862.000
54,2.000,23.000,473.000,39.000,3.012,1.506,-13482705.000
55,2.000,24.000,482.000,16.000,3.186,1.593,-13085652.000
56,2.000,25.000,518.000,34.000,5.192,2.596,-7691939.000
57,2.000,26.000,529.000,11.000,3.289,1.644,-12364511.000
58,2.000,27.000,546.000,12.000,2.197,1.098,-8610709.000
