 ,Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,1.000,1.000,104.000,301.000,-1.000,-1.000,-16711646.000
2,1.000,2.000,104.000,302.000,0.129,0.064,-13613987.000
3,1.000,3.000,113.000,292.000,1.736,0.868,-12954523.000
4,1.000,4.000,129.000,273.000,3.204,1.602,-16111584.000
5,1.000,5.000,141.000,254.000,2.899,1.449,-10976746.000
6,1.000,6.000,127.000,247.000,2.019,1.010,-13352669.000
7,1.000,7.000,118.000,234.000,2.040,1.020,-13090263.000
8,1.000,8.000,94.000,199.000,5.475,2.737,-13027544.000
9,1.000,9.000,63.000,203.000,4.032,2.016,-9666672.000
10,1.000,10.000,55.000,219.000,2.308,1.154,-11774602.000
11,1.000,11.000,50.000,234.000,2.040,1.020,-11381163.000
12,1.000,12.000,50.000,249.000,1.935,0.968,-10918318.000
13,1.000,13.000,47.000,259.000,1.347,0.673,-12697019.000
14,1.000,14.000,39.000,281.000,3.020,1.510,-11839677.000
15,1.000,15.000,36.000,313.000,4.146,2.073,-11249096.000
16,1.000,16.000,15.000,317.000,2.758,1.379,-11048647.000
17,1.000,17.000,8.000,314.000,0.982,0.491,-13353686.000
18,1.000,18.000,8.000,311.000,0.387,0.194,-11838678.000
19,1.000,19.000,6.000,310.000,0.288,0.144,-14203340.000
20,1.000,20.000,1.000,312.000,0.695,0.347,-9536449.000
21,2.000,1.000,86.000,202.000,-1.000,-1.000,-16777201.000
22,2.000,2.000,73.000,220.000,2.864,1.432,-12235656.000
23,2.000,3.000,61.000,232.000,2.189,1.095,-11503987.000
24,2.000,4.000,50.000,200.000,4.365,2.183,-12422031.000
25,2.000,5.000,41.000,235.000,4.662,2.331,-15259080.000
26,2.000,6.000,60.000,264.000,4.472,2.236,-12497609.000
27,2.000,7.000,54.000,282.000,2.448,1.224,-8088189.000
28,2.000,8.000,33.000,298.000,3.406,1.703,-8030346.000
29,2.000,9.000,29.000,317.000,2.505,1.252,-8423310.000
30,2.000,10.000,13.000,322.000,2.162,1.081,-11120810.000
31,2.000,11.000,5.000,339.000,2.424,1.212,-10460326.000
32,2.000,12.000,5.000,351.000,1.548,0.774,-6773870.000
33,2.000,13.000,3.000,347.000,0.577,0.288,-4866122.000
34,2.000,14.000,0.000,347.000,0.387,0.194,-3484461.000
35,2.000,15.000,5.000,359.000,1.677,0.838,-4865351.000
36,2.000,16.000,5.000,366.000,0.903,0.452,-5259342.000
37,2.000,17.000,5.000,368.000,0.258,0.129,-5061960.000
38,2.000,18.000,5.000,371.000,0.387,0.194,-9996222.000
39,2.000,19.000,24.000,403.000,4.801,2.400,-10260160.000
40,2.000,20.000,37.000,424.000,3.186,1.593,-11843018.000
41,2.000,21.000,56.000,438.000,3.045,1.522,-11839418.000
42,2.000,22.000,68.000,470.000,4.409,2.204,-9470862.000
43,3.000,1.000,89.000,199.000,-1.000,-1.000,-16579562.000
44,4.000,1.000,136.000,107.000,-1.000,-1.000,-15919048.000
45,4.000,2.000,136.000,111.000,0.516,0.258,-16776904.000
46,4.000,3.000,136.000,111.000,0.000,0.000,-16774851.000
47,4.000,4.000,142.000,118.000,1.189,0.595,-16772029.000
48,4.000,5.000,155.000,116.000,1.697,0.848,-12819067.000
49,4.000,6.000,167.000,119.000,1.596,0.798,-3152390.000
50,4.000,7.000,191.000,127.000,3.263,1.632,-328707.000
51,4.000,8.000,196.000,127.000,0.645,0.322,-11312038.000
52,4.000,9.000,208.000,113.000,2.379,1.189,-11180478.000
53,4.000,10.000,233.000,113.000,3.225,1.612,-11382478.000
54,4.000,11.000,248.000,107.000,2.084,1.042,-11048599.000
55,4.000,12.000,266.000,113.000,2.448,1.224,-5326912.000
56,4.000,13.000,291.000,101.000,3.577,1.789,-6965561.000
57,4.000,14.000,315.000,101.000,3.096,1.548,-8084527.000
58,4.000,15.000,328.000,101.000,1.677,0.838,-7230560.000
59,4.000,16.000,361.000,101.000,4.257,2.128,-7556671.000
60,4.000,17.000,391.000,85.000,4.386,2.193,-7230552.000
61,4.000,18.000,418.000,67.000,4.186,2.093,-6244431.000
62,4.000,19.000,437.000,67.000,2.451,1.226,-5920881.000
63,4.000,20.000,460.000,49.000,3.768,1.884,-458763.000
64,4.000,21.000,501.000,37.000,5.511,2.755,-12824222.000
65,4.000,22.000,528.000,35.000,3.493,1.746,-11706008.000
66,4.000,23.000,552.000,38.000,3.120,1.560,-4927803.000
67,4.000,24.000,579.000,27.000,3.761,1.880,-589827.000
68,4.000,25.000,595.000,17.000,2.434,1.217,-4664358.000
69,4.000,26.000,616.000,8.000,2.947,1.474,-11248559.000
70,5.000,1.000,239.000,106.000,-1.000,-1.000,-16777216.000
71,5.000,2.000,238.000,101.000,0.658,0.329,-16119037.000
72,5.000,3.000,242.000,107.000,0.930,0.465,-16776441.000
73,5.000,4.000,255.000,117.000,2.116,1.058,-16708864.000
74,5.000,5.000,271.000,117.000,2.064,1.032,-15260928.000
75,5.000,6.000,284.000,117.000,1.677,0.838,-9729206.000
76,5.000,7.000,291.000,105.000,1.792,0.896,-13880543.000
77,5.000,8.000,308.000,115.000,2.544,1.272,-8743084.000
78,5.000,9.000,316.000,90.000,3.386,1.693,-11174318.000
79,5.000,10.000,334.000,93.000,2.354,1.177,-10847955.000
80,5.000,11.000,354.000,92.000,2.583,1.292,-13090524.000
81,5.000,12.000,384.000,105.000,4.218,2.109,-6440567.000
82,5.000,13.000,400.000,87.000,3.107,1.553,-11633856.000
83,5.000,14.000,410.000,71.000,2.434,1.217,-9662096.000
84,5.000,15.000,430.000,66.000,2.659,1.330,-14269172.000
85,5.000,16.000,459.000,63.000,3.761,1.880,-13749711.000
86,5.000,17.000,489.000,56.000,3.974,1.987,-11311542.000
87,5.000,18.000,519.000,38.000,4.513,2.257,-13084900.000
88,5.000,19.000,550.000,38.000,3.999,2.000,-8283811.000
89,5.000,20.000,576.000,26.000,3.694,1.847,-13220067.000
90,5.000,21.000,602.000,23.000,3.376,1.688,-12757961.000
91,5.000,22.000,635.000,15.000,4.380,2.190,-13022164.000
