 ,Angle,Length
1,-93.945,12.178
2,-93.979,12.074
3,-91.685,13.051
4,-92.503,12.767
5,-92.496,12.824
6,-94.142,12.555
7,-93.256,11.656
8,-92.263,11.472
9,-90.541,11.079
10,-86.500,11.437
11,-86.820,11.316
12,-89.640,11.078
13,-91.957,11.236
14,-92.905,11.711
15,-85.209,12.098
16,-87.064,12.245
17,-89.674,12.265
18,-91.868,12.843
19,-89.672,12.161
20,-89.372,12.731
21,-88.025,12.156
22,-88.664,11.954
23,-88.834,12.000
24,-83.696,12.068
25,-84.659,12.376
26,-85.347,12.035
27,-86.875,12.166
28,-87.716,12.263
29,-87.574,12.345
30,-86.272,12.336
31,-85.614,12.325
32,-86.615,12.403
