 	Angle	Length
1	-90.670	11.940
2	-90.500	12.010
3	-91.325	12.082
4	-90.999	12.011
5	-90.838	11.941
6	-90.664	12.045
7	-90.664	12.045
8	-90.830	12.045
9	-90.498	12.045
10	-90.828	12.080
11	-91.494	12.048
12	-91.152	12.125
13	-90.830	12.028
14	-90.828	12.081
15	-91.162	12.038
16	-90	11.870
17	-90	12.035
18	-90.818	12.194
19	-91.821	12.076
20	-91.332	12.013
21	-90.830	12.037
22	-91.344	11.899
23	-92.222	11.704
24	-90.707	11.312
25	-90.169	11.870
26	-92.429	11.522
27	-90.845	11.819
28	-93.396	11.786
29	-90.515	11.634
30	-92.987	12.034
31	-91.397	11.437
