 ,Angle,Length
1,95.837,10.617
2,96.695,10.878
3,96.695,10.878
4,96.695,10.878
5,96.695,10.878
6,97.065,11.078
7,97.065,11.078
8,97.065,11.078
9,97.960,11.173
10,97.960,11.173
11,97.960,11.173
12,97.960,11.173
13,97.722,11.166
14,99.100,10.965
15,98.896,10.911
16,98.896,10.911
17,98.896,10.911
18,98.896,10.911
19,98.896,10.911
20,98.896,10.911
21,98.896,10.911
22,98.896,10.911
23,98.896,10.911
24,98.896,10.911
25,97.561,10.712
26,97.879,10.599
27,96.062,10.679
28,96.203,10.847
29,94.885,11.033
30,93.731,10.807
31,94.508,11.333
