 ,Angle,Length
1,89.761,11.319
2,89.523,11.304
3,89.761,11.319
4,89.758,11.162
5,89.762,11.351
6,89.763,11.414
7,89.526,11.382
8,89.526,11.382
9,89.526,11.382
10,89.526,11.382
11,89.526,11.382
12,89.526,11.382
13,89.049,11.368
14,88.350,11.449
15,86.999,11.682
16,85.865,11.744
17,86.620,11.969
18,85.310,12.114
19,85.547,11.511
20,84.063,11.822
21,86.820,11.889
22,80.210,12.176
23,79.953,12.135
24,79.953,12.135
25,79.953,12.135
26,79.353,11.964
27,78.470,12.021
28,79.813,12.239
29,77.716,11.959
30,78.734,12.043
31,75.324,12.290
