 ,Angle,Length
1,-87.241,11.846
2,-89.366,12.877
3,-89.773,11.959
4,-89.772,11.896
5,-88.160,11.838
6,-87.643,11.540
7,-88.509,12.786
8,-88.139,13.167
9,-87.932,13.169
10,-88.139,13.168
11,-87.932,13.154
12,-88.346,13.167
13,-87.932,13.138
14,-87.947,13.248
15,-88.547,13.086
16,-88.340,13.072
17,-88.340,13.103
18,-88.139,13.184
19,-88.966,13.147
20,-87.519,13.159
21,-88.935,12.768
22,-89.341,12.419
23,-90,11.801
24,-88.636,11.994
25,-88.868,12.025
26,-89.087,11.914
27,-88.390,11.838
28,-88.625,11.883
29,-88.631,11.931
30,-88.210,12.172
