 ,Angle,Length
1,90.477,11.180
2,91.925,11.092
3,91.198,11.120
4,91.678,11.123
5,91.193,11.183
6,90,10.947
7,87.542,10.848
8,85.862,10.976
9,85.601,10.931
10,85.094,10.863
11,84.193,11.049
12,82.338,10.464
13,81.906,10.558
14,81.407,10.602
15,80.080,10.528
16,79.765,10.225
17,78.534,10.049
18,80.318,9.940
19,78.741,10.247
20,78.637,9.930
21,79.054,10.028
22,78.896,10.147
23,78.481,10.013
24,-104.103,9.770
25,-104.436,9.711
26,-104.702,9.728
27,-106.327,9.629
28,-105.675,9.505
29,-105.255,9.566
30,-105.599,9.526
