 ,Angle,Length
1,-84.905,11.972
2,-85.144,11.867
3,-83.068,11.665
4,-84.373,11.708
5,-84.373,11.708
6,-84.373,11.708
7,-84.373,11.708
8,-84.373,11.708
9,-84.373,11.708
10,-84.373,11.708
11,-85.319,11.618
12,-84.705,11.816
13,-85.779,12.100
14,-88.360,12.044
15,-87.241,11.924
16,-86.069,12.140
17,-84.830,12.435
18,-83.660,12.751
19,-82.953,13.117
20,-82.616,13.417
21,-82.059,13.522
22,-82.059,13.522
23,-81.801,13.487
24,-81.801,13.487
25,-81.904,13.467
26,-81.487,13.382
27,-81.487,13.382
28,-81.487,13.396
29,-81.487,13.396
30,-81.487,13.396
31,-81.487,13.396
