 ,Angle,Length
1,-88.822,11.168
2,-88.822,11.168
3,-88.822,11.168
4,-88.822,11.168
5,-88.822,11.168
6,-88.822,11.168
7,-88.822,11.168
8,-88.822,11.168
9,-88.822,11.168
10,-88.822,11.168
11,-88.822,11.168
12,-88.822,11.168
13,-88.822,11.168
14,-88.822,11.168
15,-88.822,11.168
16,-88.822,11.168
17,-88.822,11.168
18,-88.822,11.168
19,-88.822,11.168
20,-88.822,11.168
21,-88.822,11.168
22,-88.822,11.168
23,-88.822,11.168
24,-88.822,11.168
25,-88.822,11.168
26,-88.822,11.168
27,-88.822,11.168
28,-88.822,11.168
29,-88.822,11.168
30,-88.822,11.168
31,-88.822,11.168
