 ,Angle,Length
1,85.703,12.113
2,84.655,11.992
3,84.323,11.998
4,84.987,11.985
5,85.653,11.974
6,85.962,11.899
7,85.320,11.979
8,85.627,11.904
9,86.341,12.034
10,85.986,11.969
11,86.673,12.029
12,86.341,12.034
13,86.653,11.960
14,86.383,12.173
15,86.634,11.890
16,86.692,12.099
17,86.653,11.960
18,86.032,12.108
19,85.292,11.910
20,87.397,12.301
21,87.089,12.374
22,89.018,12.220
23,88.036,12.226
24,87.656,11.949
25,87.257,11.673
26,83.211,11.813
27,84.323,11.998
28,85.373,12.119
29,85.016,12.055
30,85.627,11.904
31,85.549,11.695
32,85.320,11.979
33,86.209,11.616
34,84.623,11.922
35,84.867,11.707
36,82.427,12.185
37,82.626,11.969
38,82.626,11.969
39,82.340,12.047
40,82.875,11.821
41,81.536,11.859
42,80.263,11.972
