 ,Angle,Length
1,96.367,11.020
2,96.367,11.020
3,96.367,11.020
4,96.367,11.020
5,96.367,11.020
6,97.035,11.154
7,97.035,11.154
8,97.035,11.154
9,97.927,11.269
10,97.927,11.269
11,97.927,11.269
12,97.927,11.269
13,97.927,11.269
14,97.927,11.269
15,97.927,11.269
16,97.927,11.269
17,97.927,11.269
18,97.927,11.269
19,98.579,11.030
20,98.579,11.030
21,98.579,11.030
22,98.061,11.063
23,98.061,11.063
24,98.061,11.063
25,98.061,11.063
26,98.061,11.063
27,97.431,10.927
28,97.914,10.603
29,96.009,10.797
30,96.009,10.797
31,94.844,11.133
32,93.468,10.899
33,94.489,11.432
