 ,Angle,Length
1,-86.711,12.198
2,-83.942,11.494
3,-84.738,10.699
4,-89.287,11.259
5,-91.481,10.817
6,-84.487,12.133
7,-85.914,12.437
8,-85.884,12.365
9,93.886,12.392
10,93.468,12.324
11,93.468,12.355
12,93.698,12.294
13,93.684,12.356
14,93.495,12.246
15,93.481,12.307
16,93.684,12.341
17,93.657,12.450
18,94.480,12.527
19,96.508,12.331
20,97.982,12.783
21,97.953,12.810
22,99.320,12.403
23,98.542,11.934
24,97.671,11.548
25,96.546,11.439
26,94.970,11.862
27,94.690,11.967
28,95.194,11.866
29,94.950,11.876
30,95.134,11.992
31,88.836,11.464
