 ,Angle,Length
1,-89.300,11.686
2,-90.560,11.686
3,-91.701,11.537
4,-91.995,11.472
5,-92.806,11.670
6,-92.106,11.655
7,-93.059,11.243
8,-93.603,11.345
9,-92.862,11.423
10,-92.424,10.809
11,-92.893,10.736
12,-92.893,10.736
13,-90.907,10.810
14,-91.645,10.947
15,-91.645,10.947
16,-91.645,10.947
17,-91.645,10.947
18,-91.645,10.947
19,-91.645,10.947
20,-91.645,10.947
21,-89.242,10.782
22,-89.219,10.467
23,-89.683,10.314
24,-90.167,9.800
25,-90.167,9.800
26,-90.167,9.800
27,-90.167,9.800
28,-89.830,9.609
29,-89.150,9.629
30,-89.150,9.629
31,-89.150,9.629
32,-89.150,9.629
33,-89.150,9.629
34,-89.150,9.629
35,-90.329,9.943
36,-90.329,9.943
37,-89.655,9.495
