 ,Angle,Length
1,-93.358,11.482
2,-93.530,11.397
3,-92.855,11.741
4,-92.720,12.939
5,-92.484,12.819
6,-92.484,12.819
7,-92.484,12.819
8,-92.638,12.685
9,-91.970,12.737
10,-91.736,12.531
11,-92.514,11.980
12,-92.153,11.675
13,-90.155,10.789
14,-91.235,10.831
15,-91.235,10.831
16,-91.235,10.831
17,-91.235,10.831
18,-91.235,10.831
19,-91.235,10.831
20,-91.235,10.831
21,-91.235,10.831
22,-91.235,10.831
23,-91.235,10.831
24,-91.235,10.831
25,-91.235,10.831
26,-91.707,10.775
27,-93.029,11.068
28,-94.118,10.975
29,-95.602,10.765
30,-97.201,10.966
31,-98.416,10.769
