 ,Angle,Length
1,-87.077,11.018
2,-83.823,10.869
3,-82.814,10.868
4,-81.941,10.710
5,-81.545,10.494
6,-79.672,10.208
7,-80.538,10.242
8,-78.125,10.237
9,-78.125,10.237
10,-78.125,10.237
11,-78.125,10.237
12,-78.125,10.237
13,-78.125,10.237
14,-78.125,10.237
15,-78.125,10.237
16,-78.125,10.237
17,-78.125,10.237
18,-78.125,10.237
19,-78.125,10.237
20,-78.125,10.237
21,-78.125,10.237
22,-78.125,10.237
23,-78.125,10.237
24,-78.125,10.237
25,-78.125,10.237
26,-78.125,10.237
27,-78.125,10.237
28,-78.639,10.218
29,-78.639,10.218
30,-78.639,10.218
